"Date","open GORO Price in USD","high GORO Price in USD","low GORO Price in USD","close GORO Price in USD","GORO Volume","Days to cover 3m (on loan)","Cost To Borrow","Exchange Reported SI","Estimated Short Interest","Dividends","hidden"
"08-Nov-11",,,,,,,,,,
"23-Nov-11",,,,,,,,,,
"29-Nov-11",,,,,,,,,,
"08-Dec-11",,,,,,,,,,
"23-Dec-11",,,,,,,,,,
"28-Dec-11",,,,,,,,,,
"06-Jan-12",,,,,,,,,,
"23-Jan-12",,,,,,,,,,
"26-Jan-12",,,,,,,,,,
"08-Feb-12",,,,,,,,,,
"23-Feb-12",,,,,,,,,,
"24-Feb-12",,,,,,,,,,
"08-Mar-12",,,,,,,,,,
"23-Mar-12",,,,,,,,,,
"27-Mar-12",,,,,,,,,,
"05-Apr-12",,,,,,,,,,
"23-Apr-12",,,,,,,,,,
"30-Apr-12",,,,,,,,,,
"08-May-12",,,,,,,,,,
"23-May-12",,,,,,,,,,
"29-May-12",,,,,,,,,,
"07-Jun-12",,,,,,,,,,
"25-Jun-12",,,,,,,,,,
"28-Jun-12",,,,,,,,,,
"06-Jul-12",,,,,,,,,,
"23-Jul-12",,,,,,,,,,
"24-Jul-12",,,,,,,,,,
"08-Aug-12",,,,,,,,,,
"23-Aug-12",,,,,,,,,,
"28-Aug-12",,,,,,,,,,
"06-Sep-12",,,,,,,,,,
"24-Sep-12",,,,,,,,,,
"27-Sep-12",,,,,,,,,,
"05-Oct-12",,,,,,,,,,
"23-Oct-12",,,,,,,,,,
"31-Oct-12",,,,,,,,,,
"07-Nov-12",,,,,,,,,,
"23-Nov-12",,,,,,,,,,
"27-Nov-12",,,,,,,,,,
"06-Dec-12",,,,,,,,,,
"24-Dec-12",,,,,,,,,,
"31-Dec-12",,,,,,,,,,
"09-Jan-13",,,,,,,,,,
"23-Jan-13",,,,,,,,,,
"30-Jan-13",,,,,,,,,,
"07-Feb-13",,,,,,,,,,
"25-Feb-13",,,,,,,,,,
"26-Feb-13",,,,,,,,,,
"07-Mar-13",,,,,,,,,,
"25-Mar-13",,,,,,,,,,
"27-Mar-13",,,,,,,,,,
"09-Apr-13",,,,,,,,,,
"25-Apr-13",,,,,,,,,,
"29-Apr-13",,,,,,,,,,
"09-May-13",,,,,,,,,,
"23-May-13",,,,,,,,,,
"28-May-13",,,,,,,,,,
"07-Jun-13",,,,,,,,,,
"24-Jun-13",,,,,,,,,,
"27-Jun-13",,,,,,,,,,
