"Date","open CRK Price in USD","high CRK Price in USD","low CRK Price in USD","close CRK Price in USD","CRK Volume","Days to cover 3m (on loan)","Cost To Borrow","Exchange Reported SI","Estimated Short Interest","Dividends","hidden"
"02-Jan-17",,,,,,
"03-Jan-17",,,,,,
"04-Jan-17",,,,,,
"05-Jan-17",,,,,,
"06-Jan-17",,,,,,
"09-Jan-17",,,,,,
"10-Jan-17",,,,,,
"11-Jan-17",,,,,,
"03-Jul-17",,,,,,
"04-Jul-17",,,,,,
"05-Jul-17",,,,,,
"06-Jul-17",,,,,,
"07-Jul-17",,,,,,
"10-Jul-17",,,,,,
"11-Jul-17",,,,,,
"12-Jul-17",,,,,,
"13-Jul-17",,,,,,
"14-Jul-17",,,,,,
"17-Jul-17",,,,,,
"18-Jul-17",,,,,,
"19-Jul-17",,,,,,
"20-Jul-17",,,,,,
"21-Jul-17",,,,,,
"24-Jul-17",,,,,,
"25-Jul-17",,,,,,
"26-Jul-17",,,,,,
"27-Jul-17",,,,,,
"28-Jul-17",,,,,,
"31-Jul-17",,,,,,
"01-Aug-17",,,,,,
"02-Aug-17",,,,,,
"03-Aug-17",,,,,,
"04-Aug-17",,,,,,
"07-Aug-17",,,,,,
"08-Aug-17",,,,,,
"02-Oct-17",,,,,,,15.1273
"03-Oct-17",,,,,,,15.1687
"04-Oct-17",,,,,,,15.3152
"05-Oct-17",,,,,,,14.903
"06-Oct-17",,,,,,,14.9276
"09-Oct-17",,,,,,,14.9274
"10-Oct-17",,,,,,,14.9067
"11-Oct-17",,,,,,,14.8312
"12-Oct-17",,,,,,,14.5716
"13-Oct-17",,,,,,,14.6012
"16-Oct-17",,,,,,,14.6198
"17-Oct-17",,,,,,,14.7897
"18-Oct-17",,,,,,,14.7364
"19-Oct-17",,,,,,,14.7395
"20-Oct-17",,,,,,,14.6319
"23-Oct-17",,,,,,,14.5215
"24-Oct-17",,,,,,,14.7727
"25-Oct-17",,,,,,,14.6992
"26-Oct-17",,,,,,,14.6783
"27-Oct-17",,,,,,,14.7551
"30-Oct-17",,,,,,,14.6834
"31-Oct-17",,,,,,,14.6869
"01-Nov-17",,,,,,,14.598
"02-Nov-17",,,,,,,14.7401
"03-Nov-17",,,,,,,14.7386
"06-Nov-17",,,,,,,14.8589
"07-Nov-17",,,,,,,14.6887
"08-Nov-17",,,,,,,14.5223
"09-Nov-17",,,,,,,14.4848
"10-Nov-17",,,,,,,14.5997
"13-Nov-17",,,,,,,14.5777
"14-Nov-17",,,,,,,14.6889
"15-Nov-17",,,,,,,14.6161
"16-Nov-17",,,,,,,14.5756
"17-Nov-17",,,,,,,14.6308
"20-Nov-17",,,,,,,14.6394
"21-Nov-17",,,,,,,15.0026
"22-Nov-17",,,,,,,15.0144
"23-Nov-17",,,,,,,15.0144
"24-Nov-17",,,,,,,14.7311
"27-Nov-17",,,,,,,14.5039
"28-Nov-17",,,,,,,14.478
"29-Nov-17",,,,,,,14.4867
"30-Nov-17",,,,,,,14.4964
"01-Dec-17",,,,,,,14.348
"04-Dec-17",,,,,,,14.2747
"05-Dec-17",,,,,,,14.2782
"06-Dec-17",,,,,,,14.0812
"07-Dec-17",,,,,,,13.9184
"08-Dec-17",,,,,,,13.8974
"11-Dec-17",,,,,,,13.9244
"12-Dec-17",,,,,,,13.8254
"13-Dec-17",,,,,,,13.6635
"14-Dec-17",,,,,,,13.6417
"15-Dec-17",,,,,,,13.8576
"18-Dec-17",,,,,,,13.8235
"19-Dec-17",,,,,,,13.7679
"20-Dec-17",,,,,,,13.77
"21-Dec-17",,,,,,,13.7437
"22-Dec-17",,,,,,,13.7236
"25-Dec-17",,,,,,,13.7234
"26-Dec-17",,,,,,,13.6103
"27-Dec-17",,,,,,,13.0841
"28-Dec-17",,,,,,,13.4361
"29-Dec-17",,,,,,,13.4519
"01-Jan-18",,,,,,,13.4516
"02-Jan-18",,,,,,,13.3601
"03-Jan-18",,,,,,,13.3146
"04-Jan-18",,,,,,,13.3022
"05-Jan-18",,,,,,,13.2176
"08-Jan-18",,,,,,,13.182
"09-Jan-18",,,,,,,13.0942
"10-Jan-18",,,,,,,12.9748
"11-Jan-18",,,,,,,12.9185
"12-Jan-18",,,,,,,12.9009
"15-Jan-18",,,,,,,12.9007
"16-Jan-18",,,,,,,12.9045
"17-Jan-18",,,,,,,12.8583
"18-Jan-18",,,,,,,12.8574
"19-Jan-18",,,,,,,12.6693
"22-Jan-18",,,,,,,12.553
"23-Jan-18",,,,,,,12.4797
"24-Jan-18",,,,,,,12.2196
"25-Jan-18",,,,,,,12.075
"26-Jan-18",,,,,,,12.0332
"29-Jan-18",,,,,,,12.0224
"30-Jan-18",,,,,,,12.0311
"31-Jan-18",,,,,,,11.6484
"01-Feb-18",,,,,,,11.3836
"02-Feb-18",,,,,,,11.3854
"05-Feb-18",,,,,,,11.0891
"07-Feb-18",,,,,,,10.9573
"08-Feb-18",,,,,,,10.8881
"09-Feb-18",,,,,,,10.9543
"13-Feb-18",,,,,,,9.7696
"14-Feb-18",,,,,,,9.7802
"15-Feb-18",,,,,,,9.6164
"16-Feb-18",,,,,,,8.8493
"19-Feb-18",,,,,,,8.8493
"20-Feb-18",,,,,,,8.2197
"21-Feb-18",,,,,,,8.825
"22-Feb-18",,,,,,,8.8407
"23-Feb-18",,,,,,,9.1021
"26-Feb-18",,,,,,,8.9992
"27-Feb-18",,,,,,,9.1172
"28-Feb-18",,,,,,,9.3213
"01-Mar-18",,,,,,,9.1478
"02-Mar-18",,,,,,,8.9857
"05-Mar-18",,,,,,,9.0025
"06-Mar-18",,,,,,,9.0827
"07-Mar-18",,,,,,,9.1773
"08-Mar-18",,,,,,,9.2629
"09-Mar-18",,,,,,,8.9086
"12-Mar-18",,,,,,,8.8329
"13-Mar-18",,,,,,,8.6107
"14-Mar-18",,,,,,,8.4799
"15-Mar-18",,,,,,,8.4868
"16-Mar-18",,,,,,,8.3928
"19-Mar-18",,,,,,,8.1534
"20-Mar-18",,,,,,,6.6637
"21-Mar-18",,,,,,,5.7801
"22-Mar-18",,,,,,,6.057
"23-Mar-18",,,,,,,5.8012
"26-Mar-18",,,,,,,6.1306
"27-Mar-18",,,,,,,6.1664
"28-Mar-18",,,,,,,6.1465
"29-Mar-18",,,,,,,6.1691
"30-Mar-18",,,,,,,6.1691
"02-Apr-18",,,,,,,6.1128
"03-Apr-18",,,,,,,5.7969
"04-Apr-18",,,,,,,7.1529
"05-Apr-18",,,,,,,6.6439
"06-Apr-18",,,,,,,7.1905
"09-Apr-18",,,,,,,7.5557
"10-Apr-18",,,,,,,8.3238
"11-Apr-18",,,,,,,8.3235
"12-Apr-18",,,,,,,8.3447
"13-Apr-18",,,,,,,8.4664
"16-Apr-18",,,,,,,8.4851
"17-Apr-18",,,,,,,8.3764
"19-Apr-18",,,,,,,8.3789
"20-Apr-18",,,,,,,8.1526
"23-Apr-18",,,,,,,8.0775
"24-Apr-18",,,,,,,8.0449
"25-Apr-18",,,,,,,7.9365
"26-Apr-18",,,,,,,7.9175
"27-Apr-18",,,,,,,7.5245
"30-Apr-18",,,,,,,7.9575
"01-May-18",,,,,,,8.2029
"02-May-18",,,,,,,8.3465
