"Date","open SKY Price in USD","high SKY Price in USD","low SKY Price in USD","close SKY Price in USD","SKY Volume","Days to cover 3m (on loan)","Cost To Borrow","Exchange Reported SI","Estimated Short Interest","Dividends","hidden"
"02-Jan-17",,,,,,
"03-Jan-17",,,,,,
"04-Jan-17",,,,,,
"05-Jan-17",,,,,,
"06-Jan-17",,,,,,
"09-Jan-17",,,,,,
"10-Jan-17",,,,,,
"11-Jan-17",,,,,,
"12-Jan-17",,,,,,
"03-Jul-17",,,,,,
"04-Jul-17",,,,,,
"05-Jul-17",,,,,,
"06-Jul-17",,,,,,
"07-Jul-17",,,,,,
"10-Jul-17",,,,,,
"11-Jul-17",,,,,,
"12-Jul-17",,,,,,
"13-Jul-17",,,,,,
"14-Jul-17",,,,,,
"17-Jul-17",,,,,,
"18-Jul-17",,,,,,
"19-Jul-17",,,,,,
"20-Jul-17",,,,,,
"21-Jul-17",,,,,,
"24-Jul-17",,,,,,
"25-Jul-17",,,,,,
"26-Jul-17",,,,,,
"27-Jul-17",,,,,,
"28-Jul-17",,,,,,
"31-Jul-17",,,,,,
"01-Aug-17",,,,,,
"02-Aug-17",,,,,,
"03-Aug-17",,,,,,
"04-Aug-17",,,,,,
"07-Aug-17",,,,,,
"08-Aug-17",,,,,,
"09-Aug-17",,,,,,
"02-Oct-17",,,,,,,1.1407
"03-Oct-17",,,,,,,1.5645
"04-Oct-17",,,,,,,1.8481
"05-Oct-17",,,,,,,1.8407
"06-Oct-17",,,,,,,1.8173
"09-Oct-17",,,,,,,1.8027
"10-Oct-17",,,,,,,1.771
"11-Oct-17",,,,,,,2.356
"12-Oct-17",,,,,,,2.1584
"13-Oct-17",,,,,,,2.0306
"16-Oct-17",,,,,,,1.8149
"17-Oct-17",,,,,,,1.896
"18-Oct-17",,,,,,,2.4863
"19-Oct-17",,,,,,,2.4535
"20-Oct-17",,,,,,,2.1673
"23-Oct-17",,,,,,,2.2375
"24-Oct-17",,,,,,,2.199
"25-Oct-17",,,,,,,2.2706
"26-Oct-17",,,,,,,2.1626
"27-Oct-17",,,,,,,1.8593
"30-Oct-17",,,,,,,1.6768
"31-Oct-17",,,,,,,1.5612
"01-Nov-17",,,,,,,1.4416
"02-Nov-17",,,,,,,2.0679
"03-Nov-17",,,,,,,1.5622
"06-Nov-17",,,,,,,1.6653
"07-Nov-17",,,,,,,1.9183
"08-Nov-17",,,,,,,1.68
"09-Nov-17",,,,,,,1.3912
"10-Nov-17",,,,,,,1.4826
"13-Nov-17",,,,,,,1.6726
"14-Nov-17",,,,,,,1.8241
"15-Nov-17",,,,,,,1.8309
"16-Nov-17",,,,,,,1.7684
"17-Nov-17",,,,,,,1.7172
"20-Nov-17",,,,,,,1.6019
"21-Nov-17",,,,,,,1.5962
"22-Nov-17",,,,,,,1.6718
"23-Nov-17",,,,,,,1.6718
"24-Nov-17",,,,,,,1.7271
"27-Nov-17",,,,,,,1.2012
"28-Nov-17",,,,,,,1.1299
"29-Nov-17",,,,,,,1.1371
"30-Nov-17",,,,,,,1.1709
"01-Dec-17",,,,,,,1.343
"04-Dec-17",,,,,,,1.8742
"05-Dec-17",,,,,,,1.9409
"06-Dec-17",,,,,,,2.08
"07-Dec-17",,,,,,,2.0722
"08-Dec-17",,,,,,,1.8772
"11-Dec-17",,,,,,,1.814
"12-Dec-17",,,,,,,1.7916
"13-Dec-17",,,,,,,1.7916
"14-Dec-17",,,,,,,1.7876
"15-Dec-17",,,,,,,1.9688
"18-Dec-17",,,,,,,2.0242
"19-Dec-17",,,,,,,2.1118
"20-Dec-17",,,,,,,2.0413
"21-Dec-17",,,,,,,2.1313
"22-Dec-17",,,,,,,1.8957
"25-Dec-17",,,,,,,1.8393
"26-Dec-17",,,,,,,1.8393
"27-Dec-17",,,,,,,1.9351
"28-Dec-17",,,,,,,1.8984
"29-Dec-17",,,,,,,1.9835
"01-Jan-18",,,,,,,1.9342
"02-Jan-18",,,,,,,1.8341
"03-Jan-18",,,,,,,2.019
"04-Jan-18",,,,,,,2.0199
"05-Jan-18",,,,,,,2.0458
"08-Jan-18",,,,,,,1.3652
"09-Jan-18",,,,,,,1.4023
"10-Jan-18",,,,,,,1.4691
"11-Jan-18",,,,,,,1.7975
"12-Jan-18",,,,,,,1.6446
"15-Jan-18",,,,,,,1.6775
"16-Jan-18",,,,,,,1.6465
"17-Jan-18",,,,,,,1.0457
"18-Jan-18",,,,,,,0.962
"19-Jan-18",,,,,,,0.9305
"22-Jan-18",,,,,,,0.9349
"23-Jan-18",,,,,,,0.9379
"24-Jan-18",,,,,,,0.9355
"25-Jan-18",,,,,,,0.8825
"26-Jan-18",,,,,,,0.8878
"29-Jan-18",,,,,,,0.7174
"30-Jan-18",,,,,,,0.7331
"31-Jan-18",,,,,,,0.7135
"01-Feb-18",,,,,,,0.6816
"02-Feb-18",,,,,,,0.644
"05-Feb-18",,,,,,,0.6988
"06-Feb-18",,,,,,,0.7002
"07-Feb-18",,,,,,,0.6692
"08-Feb-18",,,,,,,0.7528
"09-Feb-18",,,,,,,0.7388
"12-Feb-18",,,,,,,0.7416
"13-Feb-18",,,,,,,0.6659
"14-Feb-18",,,,,,,0.6732
"15-Feb-18",,,,,,,0.6752
"16-Feb-18",,,,,,,0.6709
