"Date","open SKY Price in USD","high SKY Price in USD","low SKY Price in USD","close SKY Price in USD","SKY Volume","Days to cover 3m (on loan)","Cost To Borrow","Exchange Reported SI","Estimated Short Interest","Dividends","hidden"
"02-Jan-17",,,,,,
"03-Jan-17",,,,,,
"04-Jan-17",,,,,,
"05-Jan-17",,,,,,
"06-Jan-17",,,,,,
"09-Jan-17",,,,,,
"10-Jan-17",,,,,,
"11-Jan-17",,,,,,
"12-Jan-17",,,,,,
"03-Jul-17",,,,,,
"04-Jul-17",,,,,,
"05-Jul-17",,,,,,
"06-Jul-17",,,,,,
"07-Jul-17",,,,,,
"10-Jul-17",,,,,,
"11-Jul-17",,,,,,
"12-Jul-17",,,,,,
"13-Jul-17",,,,,,
"14-Jul-17",,,,,,
"17-Jul-17",,,,,,
"18-Jul-17",,,,,,
"19-Jul-17",,,,,,
"20-Jul-17",,,,,,
"21-Jul-17",,,,,,
"24-Jul-17",,,,,,
"25-Jul-17",,,,,,
"26-Jul-17",,,,,,
"27-Jul-17",,,,,,
"28-Jul-17",,,,,,
"31-Jul-17",,,,,,
"01-Aug-17",,,,,,
"02-Aug-17",,,,,,
"03-Aug-17",,,,,,
"04-Aug-17",,,,,,
"07-Aug-17",,,,,,
"08-Aug-17",,,,,,
"09-Aug-17",,,,,,
"19-Feb-18",,,,,,,0.6499
"20-Feb-18",,,,,,,0.6344
"21-Feb-18",,,,,,,0.6345
"22-Feb-18",,,,,,,0.6689
"23-Feb-18",,,,,,,0.6683
"26-Feb-18",,,,,,,0.6543
"27-Feb-18",,,,,,,0.6585
"28-Feb-18",,,,,,,0.6994
"01-Mar-18",,,,,,,0.6921
"02-Mar-18",,,,,,,0.9468
"05-Mar-18",,,,,,,0.8539
"06-Mar-18",,,,,,,1.0603
"07-Mar-18",,,,,,,0.8252
"08-Mar-18",,,,,,,0.8338
"09-Mar-18",,,,,,,0.8571
"12-Mar-18",,,,,,,0.8473
"13-Mar-18",,,,,,,0.8727
"14-Mar-18",,,,,,,0.9229
"15-Mar-18",,,,,,,0.9565
"16-Mar-18",,,,,,,0.851
"19-Mar-18",,,,,,,0.7756
"20-Mar-18",,,,,,,0.8748
"21-Mar-18",,,,,,,0.7897
"22-Mar-18",,,,,,,0.8094
"23-Mar-18",,,,,,,0.8582
"26-Mar-18",,,,,,,0.8624
"27-Mar-18",,,,,,,0.9085
"28-Mar-18",,,,,,,0.9717
"29-Mar-18",,,,,,,0.9647
"30-Mar-18",,,,,,,0.9053
"02-Apr-18",,,,,,,0.8655
"03-Apr-18",,,,,,,0.8829
"04-Apr-18",,,,,,,0.9386
"05-Apr-18",,,,,,,0.914
"06-Apr-18",,,,,,,1.0752
"09-Apr-18",,,,,,,1.1121
"10-Apr-18",,,,,,,0.9377
"11-Apr-18",,,,,,,1.0147
"12-Apr-18",,,,,,,0.9931
"13-Apr-18",,,,,,,0.9842
"16-Apr-18",,,,,,,0.8843
"17-Apr-18",,,,,,,0.9135
"18-Apr-18",,,,,,,0.8965
"19-Apr-18",,,,,,,0.8844
"20-Apr-18",,,,,,,0.8849
"23-Apr-18",,,,,,,0.8616
"24-Apr-18",,,,,,,0.8671
"25-Apr-18",,,,,,,0.9913
"26-Apr-18",,,,,,,0.9709
"27-Apr-18",,,,,,,0.9083
"30-Apr-18",,,,,,,0.8698
"01-May-18",,,,,,,0.857
"02-May-18",,,,,,,0.8939
"03-May-18",,,,,,,0.9076
"04-May-18",,,,,,,0.9505
"07-May-18",,,,,,,0.9777
"08-May-18",,,,,,,0.996
"09-May-18",,,,,,,0.9483
"10-May-18",,,,,,,0.8442
"11-May-18",,,,,,,0.8814
"14-May-18",,,,,,,0.9043
"15-May-18",,,,,,,0.9621
"16-May-18",,,,,,,1.0012
"17-May-18",,,,,,,0.9929
"18-May-18",,,,,,,0.9984
"21-May-18",,,,,,,0.9863
"22-May-18",,,,,,,0.9135
"23-May-18",,,,,,,1.2244
"24-May-18",,,,,,,1.2253
"28-May-18",,,,,,,1.2253
"29-May-18",,,,,,,0.8767
"30-May-18",,,,,,,0.8742
"31-May-18",,,,,,,0.894
"01-Jun-18",,,,,,,0.8294
"04-Jun-18",33.5,34.8098,32.2731,33,88235,3.354973,0.8472
"05-Jun-18",33.26,33.4,31.641,32.06,126908
"06-Jun-18",32.25,32.37,31.21,32.21,99799,2.40373,0.8224
"07-Jun-18",32.3,32.385,30.27,31.23,93143,2.655012,0.8521
"08-Jun-18",31.09,33,31.09,32.89,115892,2.477819,0.8556
"11-Jun-18",33,33.19,31.51,32.35,71024,2.648694,0.8535
"12-Jun-18",32.63,34.5,32.581,33.66,88218,2.668125,0.8873
"13-Jun-18",34,34,31.065,32.08,117792,2.610711,0.8855
"14-Jun-18",32.19,32.19,30.47,31.33,130101,2.638777,1.1337
"15-Jun-18",31.24,33.87,31.24,32.93,175549,2.386614,0.9765
"18-Jun-18",32.57,33.99,32.17,33.88,75074,2.380313,1.0414
"19-Jun-18",33.48,33.69,32.22,33.31,68034,2.441904,1.0163
"20-Jun-18",33.44,33.44,32.04,32.49,73409
"21-Jun-18",32.52,33.0097,30.059,31.02,109841,2.595742,1.0514
"22-Jun-18",30.76,31.455,30.16,31.25,779883,1.861205,1.018
"25-Jun-18",31.29,33.58,31.26,33.31,221189,1.850892,1.0234
"26-Jun-18",33.42,35.65,33.24,35.26,306437
"27-Jun-18",35.26,35.52,34.16,34.42,132779,3.612988,1.0115
"28-Jun-18",34.27,35.2995,33.86,34.7,125110,3.641166,0.98
"29-Jun-18",35.04,35.29,34.76,35.04,166543
"02-Jul-18",34.56,34.66,33.11,34.1,92153,3.740292,0.9468
"03-Jul-18",34.16,34.16,33.25,33.35,50502,4.338998,0.9159
"04-Jul-18",,,,,,4.44941,0.8877
"05-Jul-18",33.42,34.45,33.42,34.38,96529,4.833446,0.8631
"06-Jul-18",34.39,34.45,33.17,33.49,101342,4.935582,0.8339
"09-Jul-18",33.62,34.22,33.19,33.43,71685,5.054296,0.794
"10-Jul-18",33.51,34.16,33.01,33.23,161356,5.036289,0.8013
"11-Jul-18",33,33.4088,32.18,32.54,94051,5.180243,0.7938
"12-Jul-18",32.7,32.81,31.61,32.66,63133,5.460222,0.7845
"13-Jul-18",32.4,32.99,32.4,32.58,58134,5.944411,0.8131
"16-Jul-18",32.47,32.47,31.18,31.4,124844
"17-Jul-18",31.21,32.16,31.17,31.68,84849,5.985883,0.8057
"18-Jul-18",31.68,31.79,28.73,29.55,235489
"19-Jul-18",29.69,30.49,29.091,29.57,88128
"20-Jul-18",29.56,29.56,29.11,29.27,95169,6.148701,0.7884
"23-Jul-18",29.27,29.94,28.9,29.44,56427,6.22203,0.7826
"24-Jul-18",29.43,29.89,28.37,28.44,47015,6.369914,0.7769
"25-Jul-18",28.36,28.94,28.2,28.6,52661,6.48051,0.7801
"26-Jul-18",28.72,29.6565,28.25,29.15,60453,6.450026,0.7661
"27-Jul-18",29.11,29.75,28.425,28.76,106879,6.545906,0.7749
"30-Jul-18",28.76,28.93,27.5,27.63,54764,6.575472,0.7644
"31-Jul-18",26.55,26.56,24.8,25.68,264899
"01-Aug-18",25.41,25.63,24.7785,25.57,375169,6.14178,0.772
"02-Aug-18",24.92,25.47,23.26,23.69,790493,5.671399,0.8104
"03-Aug-18",23.15,25.49,23.15,24.24,4486264
"06-Aug-18",24.4,26.69,24.4,26.2,1050957,4.288928,1.2986
"07-Aug-18",26.35,28.06,26,27.4,644926,5.051487,1.3982
"08-Aug-18",28.57,29.5,27.58,27.83,567393,5.192179,1.0828
"09-Aug-18",27.91,28.31,27.1,27.9,395226,4.908815,1.0431
"10-Aug-18",27.26,27.47,25.86,26.46,474105,2.055925,1.0225
"13-Aug-18",26.4,26.4,24.81,24.87,462169,2.191164,0.9022
"14-Aug-18",25,25.38,24.46,25.05,218385,1.300477,0.874
"15-Aug-18",24.7,24.83,23.74,24.31,338358,1.424408,0.8226
"16-Aug-18",24.48,25.565,24.4,25.24,250655,1.314191,0.7703
"17-Aug-18",25.16,25.53,24.54,25.28,259213,1.54254,0.738
"20-Aug-18",25.53,26.17,24.86,25.58,277445,1.460164,0.748
"21-Aug-18",25.6,27.4,25.2,27.03,369276,1.483804,0.7586
"22-Aug-18",27.03,28.87,26.99,27.93,409668,1.610775,0.7395
"23-Aug-18",27.86,28.5,27.8343,28.1,170240,1.442271,0.7374
"24-Aug-18",28.28,28.67,27.71,28.12,174992,1.695042,0.7826
"27-Aug-18",28.23,29.1,27.95,28.97,216013,1.779257,0.7287
"28-Aug-18",30.12,30.29,28.54,29.35,253563,1.647383,0.7219
"29-Aug-18",29.53,29.53,28.6,28.7,159039,1.515524,0.6974
"30-Aug-18",28.52,29.51,28.52,29.02,123785,1.608239,0.7033
"31-Aug-18",29.09,29.09,28.65,28.91,179392,1.194616,0.721
"03-Sep-18",,,,,,1.182083,0.6916
"04-Sep-18",28.64,28.785,27.335,27.45,253405,1.120737,0.7251
"05-Sep-18",27.41,27.63,26.53,27.5,298531,1.208813,0.742
"06-Sep-18",27.63,27.74,27.02,27.58,222310,1.205916,0.6979
"07-Sep-18",27.99,29.11,27.94,28.39,227899,1.029549,0.6762
"10-Sep-18",28.55,28.75,28.191,28.54,150126,1.024136,0.6758
"11-Sep-18",28.31,29.99,28.31,29.83,323417,1.046827,0.6794
"12-Sep-18",29.88,30.25,29.44,29.94,210534
"13-Sep-18",29.96,30.51,29.6486,30.1,276348,1.39461,0.6488
"14-Sep-18",30.03,30.41,29.35,30.16,185075,1.555798,0.667
"17-Sep-18",29.89,30.03,29.28,29.66,250574,1.492518,0.6621
"18-Sep-18",29.61,30.28,29.61,30.13,187900,1.442857,0.6486
"19-Sep-18",30.14,30.75,30.1009,30.61,354494,1.603077,0.641
"20-Sep-18",28.84,30.01,27.26,29.91,1384871,1.483274,0.6444
"21-Sep-18",30.05,30.51,29.9,30.03,6224090,1.233329,0.6572
"24-Sep-18",30.17,31.09,30.1,30.2,1248293,0.956156,0.7021
"25-Sep-18",30.27,31.19,30.27,30.92,2152739,1.065231,0.6734
"26-Sep-18",30.79,31,29.32,29.77,737854,0.626637,1.1367
"27-Sep-18",29.54,29.78,27.9,28.51,543963,0.644609,0.7487
"28-Sep-18",28.32,28.665,28.06,28.57,712756,0.9053,0.7165
"01-Oct-18",28.7,29.99,28.65,29.16,872861,0.709281,0.7811
"02-Oct-18",29.33,30.18,29.28,29.73,811598,0.840377,0.7276
"03-Oct-18",29.85,30.17,29.56,30,869986,0.543804,0.7772
"04-Oct-18",29.73,30.95,29.68,30.02,587171,0.486903,1.1486
"05-Oct-18",29.98,29.98,28.24,29.36,2087341,0.475877,0.7432
"08-Oct-18",29.15,29.58,28.55,29.09,564428,0.458148,0.7046
"09-Oct-18",29,29.63,26.35,27,1055242,0.534329,0.7453
"10-Oct-18",26.97,27.17,24.79,25.13,1019043,1.88395,0.6974
"11-Oct-18",24.96,25.7275,24.24,24.44,887388,2.008484,0.6873
"12-Oct-18",24.93,25.7,24.78,25.53,858202,2.092406,0.6679
"15-Oct-18",25.43,25.62,25.2,25.51,478394,2.166387,0.6652
"16-Oct-18",25.71,27.08,25.49,27.02,491185,2.226883,0.6814
"17-Oct-18",26.79,27.275,26.26,27.11,404497,2.388682,0.659
"18-Oct-18",26.87,27.35,26.28,26.32,392665,2.542749,0.6519
"19-Oct-18",26.32,26.32,24.23,24.23,689973,2.701836,0.6457
"22-Oct-18",24.32,24.55,21.93,22.46,1239159,2.625165,0.6471
"23-Oct-18",22.18,23.07,21.89,22.98,736364,2.945917,0.6383
"24-Oct-18",23.1,23.64,21.75,21.83,592200,2.597339,0.6454
"25-Oct-18",22.15,23.07,22.15,23.01,704097,2.566714,0.646
"26-Oct-18",22.49,23.89,22.24,23.39,568648
"29-Oct-18",23.96,24.37,22.7,23.07,482585
"30-Oct-18",22.95,24.36,22.72,24.29,394983
"31-Oct-18",24.75,25.35,23.14,23.83,592444
"01-Nov-18",24.07,25.77,23.83,25.6,336454
"02-Nov-18",25.81,25.81,24.79,25.2,327633
"05-Nov-18",25.12,25.4,24.22,24.61,499717,3.225636,0.6383
"06-Nov-18",24.97,26.54,24.82,25.35,602062,3.228546,0.6358
"07-Nov-18",25.75,25.75,24.62,25.13,365501,3.173592,0.6335
"08-Nov-18",24.78,25.95,24.26,25.56,205460,3.030084,0.6374
"09-Nov-18",25.31,25.4,23.46,23.63,317236,2.979079,0.6417
"12-Nov-18",23.41,23.42,21.8,22.15,462155,2.929233,0.6325
"13-Nov-18",22.21,23.46,22.07,23.22,404724,1.7843,0.691
"14-Nov-18",23.45,24.1316,22.98,23.03,283673,1.835322,0.6865
"15-Nov-18",22.91,23.55,22.71,23.48,347710,1.910247,0.6629
"16-Nov-18",23.3,23.98,22.91,23.94,220613,1.744599,0.6622
"19-Nov-18",23.85,24.18,22.06,22.14,356894,1.738675,0.6616
"20-Nov-18",21.51,22.6,21.43,22.14,390195,1.710102,0.669
"21-Nov-18",22.37,23.65,22.015,23.46,265307,1.694062,0.6532
"22-Nov-18",,,,,,1.724677,0.6434
"23-Nov-18",23.18,24.16,23.18,23.63,103919,1.766199,0.6527
"26-Nov-18",23.99,24.37,23.45,23.59,331432,1.657801,0.641
"27-Nov-18",23.3,23.97,22.54,22.75,348350,1.648582,0.645
"28-Nov-18",22.04,22.78,21.48,22,2339589,1.596015,0.6359
"29-Nov-18",21.65,22.33,21.65,22.16,662874,2.9816,0.6109
"30-Nov-18",22.21,23.16,22.06,22.52,1254893,3.828435,0.7256
"03-Dec-18",23.02,23.25,21.83,21.94,687085,2.322664,0.6003
"04-Dec-18",21.67,21.9,18.12,18.35,1661178,2.507634,0.6273
"05-Dec-18",,,,,,2.653457,0.6129
"06-Dec-18",18.16,18.3281,17.62,18.3,840476,1.348197,0.6403
"07-Dec-18",18.19,18.89,17.54,17.62,1359103,1.291279,0.6365
"10-Dec-18",17.45,17.88,16.96,17.54,609048,1.233262,0.6523
"11-Dec-18",18,18.15,16.47,16.86,501248,1.14236,0.6515
"12-Dec-18",17.05,17.16,16.37,16.51,595442,0.989231,0.6484
"13-Dec-18",16.68,16.73,15.5,15.73,680135,0.91528,0.6518
"14-Dec-18",15.53,15.88,14.91,15.21,533298,0.807249,0.675
"17-Dec-18",15.13,15.98,14.925,14.97,626570,0.846928,0.6732
"18-Dec-18",15.13,16.05,15.07,16,1118904,0.933961,0.6645
"19-Dec-18",16,16.46,15.6508,15.79,1248688,0.743052,0.6627
"20-Dec-18",15.71,16.03,14.71,14.78,712943,0.797883,0.6448
"21-Dec-18",14.72,14.72,13.31,13.46,1982457,0.91547,0.634
"24-Dec-18",13.23,13.64,12.77,12.8,452822,1.028335,0.6425
"25-Dec-18",,,,,,1.016356,0.6334
"26-Dec-18",13.01,13.86,12.72,13.84,682783,1.743095,0.6241
"27-Dec-18",13.51,14.05,13.23,14.01,573295,1.937486,0.6797
"28-Dec-18",14.03,14.3595,13.735,14.06,508501,1.333725,0.6229
"31-Dec-18",14.24,14.76,14,14.69,592482,1.385932,0.6177
"01-Jan-19",,,,,,1.304471,0.622
"02-Jan-19",14.31,15.36,14.31,14.75,1036156,1.414925,0.6389
"03-Jan-19",14.54,14.73,14.07,14.24,547234,1.513078,0.6302
"04-Jan-19",14.55,15.24,14.32,14.99,677355,1.671713,0.6334
"07-Jan-19",15.1,16.13,14.89,15.97,839478,1.780496,0.6231
"08-Jan-19",16.17,16.2199,15.38,15.76,493022,1.772885,0.629
"09-Jan-19",15.9,16.14,15.31,15.57,401339,1.842418,0.6476
"10-Jan-19",15.42,15.66,14.81,15.43,395564,1.67145,0.6475
"11-Jan-19",15.24,15.42,14.8,15.14,768102,1.828887,0.6234
"14-Jan-19",14.99,15.6,14.92,15.25,632238,1.753721,0.6188
"15-Jan-19",15.26,15.53,14.99,15.44,433076,1.714742,0.6166
"16-Jan-19",15.48,15.79,15.36,15.63,399516,1.863056,0.6255
"17-Jan-19",15.44,15.91,15.42,15.82,244694,1.678315,0.6377
"18-Jan-19",15.93,16.19,15.69,15.99,311571,1.757094,0.6378
"21-Jan-19",,,,,,1.744448,0.6379
"22-Jan-19",15.83,15.83,15.01,15.13,634372,1.75886,0.6451
"23-Jan-19",15.27,15.495,14.65,15.13,421264,1.795956,0.6408
"24-Jan-19",15.26,15.87,15.0501,15.85,158137,1.797747,0.6421
"25-Jan-19",15.9,16.52,15.85,16.2,535624,1.815894,0.6416
"28-Jan-19",15.96,16.58,15.655,16.2,750609,1.60941,0.6892
"29-Jan-19",16.16,16.6225,15.9,16.48,366198,1.450293,0.7078
"30-Jan-19",16.68,17.19,16.22,17.12,378439,1.437038,0.6804
"31-Jan-19",17.83,18.92,17.81,18.06,1199213,1.534875,0.6647
"01-Feb-19",18.04,18.17,17.57,17.79,525201,1.633724,0.6428
"04-Feb-19",17.81,18,17.5,17.69,754843,1.854561,0.6254
"05-Feb-19",17.6,17.71,16.5,16.85,1141399,1.95119,0.6138
"06-Feb-19",19.25,20.785,18.61,19.62,4267591,1.676001,0.6125
"07-Feb-19",19.46,19.68,19.05,19.22,928806,1.712489,0.6205
"08-Feb-19",18.91,19.4,18.91,19.26,678512,2.243348,0.6047
"11-Feb-19",19.4,19.68,19.02,19.2,580804,2.294442,0.6044
"12-Feb-19",19.45,19.73,19.15,19.7,1065930,2.560061,0.5964
"13-Feb-19",19.7,19.96,19.19,19.42,652578,2.602917,0.5956
"14-Feb-19",19.17,19.39,18.77,19.3,367365,3.000356,0.5951
"15-Feb-19",19.33,19.845,19.22,19.73,445615,2.872419,0.6029,2159432
"18-Feb-19",,,,,,2.761421,0.6031
"19-Feb-19",19.7,20.2825,19.59,20.22,751920,2.732804,0.5927
"20-Feb-19",20.27,20.43,19.97,20.31,356982,2.791931,0.5766
"21-Feb-19",20.22,20.72,20.09,20.66,530758,3.074595,0.5711
"22-Feb-19",20.77,21.81,20.77,21.39,1087341,3.140319,0.5712
"25-Feb-19",21.66,21.81,21.26,21.71,759139,3.221951,0.571
"26-Feb-19",21.48,22.16,21.35,21.99,956435,3.489129,0.5739
"27-Feb-19",21.87,22.03,21.46,22,535826,3.604736,0.5796,,2885864.9248
"28-Feb-19",21.01,21.25,19.8,19.86,6326267,3.33882,0.5838,3277158,3002042.3664
"01-Mar-19",20.11,21.13,20.11,21.09,2010582,3.543579,0.5886,,3156657.6976
"04-Mar-19",21.23,21.84,20.7,20.78,837031,4.354299,0.6151,,3890000.8048
"05-Mar-19",20.92,20.97,20.09,20.12,723038,3.242239,0.6273,,2844835.7168
"06-Mar-19",20.09,20.09,19.42,19.49,543647,2.421615,0.5456,,2111924.496
"07-Mar-19",19.47,20.03,19.03,19.99,720331,3.126292,0.5635,,2720236.4904
"08-Mar-19",19.81,20.26,19.68,19.94,447209,2.403586,0.5322,,2054699.548
"11-Mar-19",20.02,20.76,19.8701,20.53,433115,2.305303,0.5309,,2143916.7636
"12-Mar-19",20.52,20.68,20.305,20.52,292223,2.273989,0.529,,2106229.4466
"13-Mar-19",20.67,20.67,19.94,19.95,463122,2.246398,0.5341,,2075096.4456
"14-Mar-19",19.87,20.035,19.2,19.37,510323,2.111763,0.5258,,1944010.1256
"15-Mar-19",19.36,19.72,19.3,19.46,1388796,2.017157,0.5258,2087407,1888626.1554
"18-Mar-19",19.48,19.87,19.21,19.69,279691,1.825515,0.519,,1697567.844
"19-Mar-19",19.77,19.84,19.07,19.08,326591,1.732296,0.5316,,1585816.7562
"20-Mar-19",19.02,19.47,18.39,19.05,467038,1.809193,0.532,,1630386.105
"21-Mar-19",19.01,19.79,19.01,19.55,469125,1.835427,0.5233,,1645788.7476
"22-Mar-19",19.35,19.58,18.53,18.75,600053,1.943878,0.5222,,1693962.9702
"25-Mar-19",18.77,19.17,18.71,18.99,381939,2.061608,0.5254,,1793916.2892
"26-Mar-19",19.18,19.18,18.54,18.99,346294,2.081362,0.5311,,1983662.8721
"27-Mar-19",19.1,19.29,18.9,19.01,418730,2.1111,0.5319,,2000988.3502
"28-Mar-19",19.11,19.38,18.77,18.91,243085,2.204276,0.5295,,2074882.558
"29-Mar-19",19.08,19.46,18.69,19,338820,2.116694,0.5261,2300626,1985332.7977
"01-Apr-19",19.11,19.36,18.95,19.33,386841,2.124006,0.5317,,1983454.1314
"02-Apr-19",19.33,19.89,19.2,19.79,335703,2.22447,0.5227,,2058809.5241
"03-Apr-19",19.99,20.35,19.9,20.16,375033,1.735266,0.5184,,1583715.6909
"04-Apr-19",20.17,20.73,20.15,20.32,1417947,1.704937,0.5151,,1584968.1351
"05-Apr-19",20.42,20.93,20.18,20.77,978132,1.712572,0.5187,,1602084.8725
"08-Apr-19",20.65,21.04,20.45,20.75,751764,2.535785,0.5388,,2367954.5008
"09-Apr-19",20.56,20.68,19.78,19.92,491210,2.098637,0.5271,,2270947.9246
"10-Apr-19",19.96,20.395,19.96,20.1,363331,2.047288,0.5238,,2213662.3372
"11-Apr-19",20.2,20.34,19.96,20,286743,1.933185,0.5209,,2085517.469
"12-Apr-19",20.21,20.21,19.77,19.93,272972,1.776476,0.5109,,1896636.0744
"15-Apr-19",20.04,20.2,19.43,19.79,194773,1.818402,0.518,2530926,1923323.336
"16-Apr-19",19.84,20.13,19.685,20.1,188045,1.817005,0.5174,,1911590.1434
"17-Apr-19",20.16,20.26,19.86,20.16,207100,1.821153,0.5117,,1908139.2044
"18-Apr-19",20.06,20.47,19.92,20.19,199421,1.688229,0.5183,,1767110.8306
"19-Apr-19",,,,,,1.672722,0.5138,,1767110.8306
"22-Apr-19",20.13,20.41,19.47,19.83,256917,1.689819,0.5267,,1766650.7054
"23-Apr-19",20.01,20.59,19.84,20.55,390221,1.785376,0.518,,1856605.182
"24-Apr-19",20.49,20.84,20.13,20.51,173809,1.854343,0.5123,,2524092.4998
"25-Apr-19",20.3,20.34,19.72,20,241198,2.01931,0.4979,,2753647.488
"26-Apr-19",20,20.07,19.41,19.75,442225,1.936826,0.4913,,2635706.3364
"29-Apr-19",19.78,20.269,19.7,20.2,253780,1.780215,0.4805,,2396280.7368
"30-Apr-19",20.18,21.14,20.18,21.11,332306,1.828266,0.4657,2413622,2459047.7016
"01-May-19",21.21,21.97,20.89,21.09,624575,1.814868,0.5082,,2427917.3118
"02-May-19",20.87,21.98,20.79,21.37,364213,1.811934,0.5079,,2415009.5892
"03-May-19",21.57,21.86,20.98,21.78,253469,1.809759,0.4939,,2387675.5884
"06-May-19",21.3,21.71,21.03,21.47,298584,1.877925,0.493,,2426651.8488
