"Date","open AMEH Price in USD","high AMEH Price in USD","low AMEH Price in USD","close AMEH Price in USD","AMEH Volume","Days to cover 3m (on loan)","Cost To Borrow","Exchange Reported SI","Estimated Short Interest","Dividends","hidden"
"02-Jan-17",,,,,,
"03-Jan-17",,,,,,
"25-Jul-17",,,,,,
"26-Jul-17",,,,,,
"27-Jul-17",,,,,,
"28-Jul-17",,,,,,
"31-Jul-17",,,,,,
"01-Aug-17",,,,,,
"02-Aug-17",,,,,,
"03-Aug-17",,,,,,
"04-Aug-17",,,,,,
"07-Aug-17",,,,,,
"03-Oct-17",,,,,,,9.9982
"04-Oct-17",,,,,,,9.9982
"05-Oct-17",,,,,,,9.9982
"06-Oct-17",,,,,,,9.9982
"09-Oct-17",,,,,,,9.9982
"10-Oct-17",,,,,,,9.9982
"11-Oct-17",,,,,,,9.9982
"12-Oct-17",,,,,,,9.9982
"16-Oct-17",,,,,,,10.8932
"17-Oct-17",,,,,,,10.8932
"18-Oct-17",,,,,,,10.8932
"19-Oct-17",,,,,,,10.8932
"20-Oct-17",,,,,,,10.8932
"23-Oct-17",,,,,,,10.8932
"24-Oct-17",,,,,,,10.8932
"25-Oct-17",,,,,,,10.8932
"26-Oct-17",,,,,,,10.8932
"27-Oct-17",,,,,,,10.8932
"30-Oct-17",,,,,,,10.8932
"31-Oct-17",,,,,,,10.8932
"01-Nov-17",,,,,,,10.7861
"02-Nov-17",,,,,,,10.8932
"03-Nov-17",,,,,,,10.8932
"06-Nov-17",,,,,,,10.8932
"07-Nov-17",,,,,,,10.8932
"04-Dec-17",,,,,,,9.9982
"05-Dec-17",,,,,,,9.9982
"08-Dec-17",,,,,,,9.9982
"11-Dec-17",10,11,10,10.84,6525,0.061303,10.4457
"12-Dec-17",11,18.44,10.8622,16.6713,30978,0.111988,10.3213
"13-Dec-17",16.67,24.75,16.637,22,54592,0.120529,10.3249
"14-Dec-17",22,22,17.49,18,33965,0.088847,10.335
"15-Dec-17",18,20,18,18.16,13540,0.118195,10.7565
"18-Dec-17",20.5,22,19.05,20.98,11622,0.111093,10.6794
"19-Dec-17",20.5,22,20.03,21.15,14959,0.193766,10.8785
"20-Dec-17",25,25,21.5,22.36,38591,0.179716,10.8904
"21-Dec-17",22.5,23.05,20.5,21.852,58387,0.157319,10.8904
"22-Dec-17",23.39,24,22.2444,24,16792,0.141204,10.9518
"25-Dec-17",,,,,,0.141204,10.9518
"26-Dec-17",24,24,22.5,23.5,19479,0.240733,7.7561
"27-Dec-17",23.85,23.85,23.34,23.72,8589,0.516324,11.1078
"28-Dec-17",23.75,25,23.5,24,11685,0.555158,11.1762
"29-Dec-17",23.8,24.5,23.401,24,24786,0.571121,11.2406
"01-Jan-18",,,,,,0.579046,11.2558
"02-Jan-18",24.35,24.5,23.001,24,15966,0.597087,11.1674
"03-Jan-18",24.34,24.34,23.7305,24,9012,0.746925,11.6374
"04-Jan-18",23.32,24.45,23.32,24.01,24149,0.496458,11.8557
"05-Jan-18",23.5,24.5,23.5,24.5,18693,0.615341,12.022
"08-Jan-18",24,24.43,23.5001,23.99,17162,0.597018,12.1889
"09-Jan-18",23.99,27.2996,23.6482,26.9,55692,0.630514,12.2073
"10-Jan-18",27,29.7,27,28.99,41145,0.486793,12.1106
"11-Jan-18",29.64,29.78,27.5,28.15,45345,0.665794,11.9072
"12-Jan-18",28.07,29.42,28,28.9,41484,0.686286,11.931
"15-Jan-18",,,,,,0.686286,11.931
"16-Jan-18",28.9,29.9144,28.86,29,42712,0.705676,11.8301
"17-Jan-18",30,30,27.5,27.5,35848,0.158631,11.2628
"18-Jan-18",28.13,28.4,20.6,22.34,154405,0.313441,11.2093
"19-Jan-18",22.34,24.5,22.34,23.75,14891,0.272947,11.5553
"22-Jan-18",24.184,24.591,22.8,22.81,80598,0.484061,11.8828
"23-Jan-18",22.8,23.7047,21.9,21.91,46624,0.451931,11.9762
"24-Jan-18",22.41,22.41,20.5,21.3,28979,0.589866,12.2208
"25-Jan-18",20.93,21.47,17.44,19.95,72949,0.693852,12.1945
"26-Jan-18",19.95,19.95,18.35,19.5,9303,0.720909,12.206
"29-Jan-18",19.93,21.5,19.58,20.13,16409,0.71772,12.2031
"30-Jan-18",20,21.5,18.5,19.61,14128,0.745269,12.206
"31-Jan-18",19.05,19.9599,17.6,18.25,54238,1.00396,10.9643
"01-Feb-18",18.27,19.35,17.74,17.74,48196,0.691389,11.951
"02-Feb-18",17.65,19.6662,17.65,18,34694,0.510103,12.1348
"05-Feb-18",17.94,20,17.5,19.7,35889,0.541528,12.1472
