"Date","open INSE Price in USD","high INSE Price in USD","low INSE Price in USD","close INSE Price in USD","INSE Volume","Days to cover 3m (on loan)","Cost To Borrow","Exchange Reported SI","Estimated Short Interest","Dividends","hidden"
"29-Dec-16",8.25,8.25,7.5,8.1,13988
"06-Jul-17",12.9,12.9,12.65,12.65,5070,14.839907
"07-Jul-17",12.5,12.65,12.25,12.55,2762,14.487826
"10-Jul-17",12.15,12.4,11.95,12.1,5485,14.325744
"11-Jul-17",12.3,12.3,11.75,11.9,3500,13.781381
"12-Jul-17",11.85,12.3,11.85,12.2,5741,13.730897
"13-Jul-17",11.95,12.15,11.95,12.15,3233,13.276579
"14-Jul-17",12.1,12.1,11.9,11.9,2892,12.512923
"17-Jul-17",11.85,12.45,11.8,12.15,8660,12.656708
"18-Jul-17",11.95,12.2,11.85,12.1,6077,12.652848
"19-Jul-17",12.5,12.5,12.15,12.15,5589,12.575541
"20-Jul-17",11.8,11.95,11.8,11.95,3037,12.585241
"21-Jul-17",12.2,12.6,11.775,12.1,10011,12.739004
"24-Jul-17",11.95,12.3,11.95,12.15,3489,12.62576
"25-Jul-17",12.15,12.15,12.05,12.05,12602,12.356717
"26-Jul-17",12.15,12.15,11.45,11.6,14630,12.429747
"27-Jul-17",11.35,12.1,11.3,11.5,20065,13.822812
"28-Jul-17",11.6,11.65,11,11.05,13087,13.514377
"31-Jul-17",10.95,11.65,10.95,11.15,8092,13.120525
"01-Aug-17",11.2,11.45,11.2,11.45,1309,13.200347
"02-Aug-17",11.25,11.25,10.5,10.7,10629,12.060514
"03-Aug-17",10.55,10.9,9.5,9.7,28382,11.501778
"04-Aug-17",9.55,10.1,9.5,10.1,5668,11.392536
"07-Aug-17",9.35,10.05,9.35,10.05,3066,10.604525
"08-Aug-17",10.05,11.1,10.05,10.2,15240,10.662328
"09-Aug-17",9.9,10.3,9.9,10,14362,10.292729
"10-Aug-17",10,10.1,9.85,10.1,6501,10.186786
"11-Aug-17",10.2,10.2,10,10.15,2676,9.586749
"14-Aug-17",10.6,10.9,10.1,10.7,19590,9.450191
"15-Aug-17",10.65,10.65,10.15,10.45,3425,9.426681
"16-Aug-17",10.7,10.7,10.15,10.25,7496,9.097709
"17-Aug-17",10.4,10.4,9.6,10.25,7289,8.926334
"18-Aug-17",10,10.2,9.85,10.15,8175,8.724982
"21-Aug-17",10,10.35,10,10.15,3150,8.95431
"22-Aug-17",10.3,10.85,10.3,10.5,11934,8.964775
"23-Aug-17",10.4,11.85,10.4,11.5,35774,8.564119
"24-Aug-17",11.65,12.05,10.9,11,21859,8.474165
"25-Aug-17",11.45,11.45,10.9,11,2804,8.194585
"28-Aug-17",11,11.2,10.95,10.95,4211,7.74639
"29-Aug-17",10.95,11,10.8,10.95,6227,7.650701
"30-Aug-17",10.65,10.95,10.65,10.85,7541,7.627988
"31-Aug-17",11.25,11.45,10.9548,11.1,28153,8.02319
"01-Sep-17",11.3,11.95,11.15,11.75,26293,8.049353
"04-Sep-17",,,,,,7.971199
"05-Sep-17",12,12.5,11.8,12,19758,7.395042
"06-Sep-17",12.2,12.7,12.2,12.35,22729,7.214336
"07-Sep-17",12.35,12.35,11.6,12.05,75267,6.260695
"08-Sep-17",11.95,12.55,11.95,12.2,15247,6.062535
"11-Sep-17",12.2,12.7,12.2,12.65,11034,6.083067
"12-Sep-17",12.695,12.7,12.4,12.45,11206,7.627395
"13-Sep-17",12.5,12.6,12.45,12.6,20374,8.593336
"14-Sep-17",12.75,13.05,12.6,13,10333,7.775711
"15-Sep-17",13.05,13.3,12.85,13.15,86578,5.902711
"18-Sep-17",13.05,13.65,13.05,13.4,28039,5.918367
"19-Sep-17",13.555,13.625,13.2,13.6,35074,8.016046
"20-Sep-17",13.6,13.6,13.15,13.25,47805,8.968761
"21-Sep-17",13.35,13.4,13.2,13.3,4701,8.943312
"22-Sep-17",13.35,13.9,13.35,13.6,12302,8.698476
"25-Sep-17",13.6,13.6,13.25,13.4,51342,12.07623
"26-Sep-17",13.35,13.5,13.25,13.4,9098,11.559035
"27-Sep-17",13.5,13.5,13.05,13.45,41282,11.046251
"28-Sep-17",13.15,13.45,12.7,13.35,24090,12.454748
"29-Sep-17",13.3,13.55,13.2,13.25,24108,11.184169
"02-Oct-17",13.35,14,13.15,13.2,11667,10.825177,20.9984
"03-Oct-17",13.15,13.3,12.5,13,37896,12.813035,21.3635
"04-Oct-17",13.15,13.2,12.95,13,30436,10.884606,21.0231
"05-Oct-17",13.05,13.25,12.75,13.1,46547,10.265497,20.9967
"06-Oct-17",12.8,13.05,12.55,12.8,11868,9.422801,20.8886
"09-Oct-17",13.25,13.25,12.6,12.65,8500,8.716109,20.8091
"10-Oct-17",12.8,12.9,12.35,12.45,20137,8.498035,20.8382
"11-Oct-17",12.55,12.7,12.25,12.45,16003,8.030215,20.7316
"12-Oct-17",12.55,12.85,12.4,12.7,23203,7.904506,20.7777
"13-Oct-17",13,13.35,13,13.2,20100,8.907819,20.9972
"16-Oct-17",13.25,13.25,12.95,13.2,7024,7.089324,20.1193
"17-Oct-17",13.5,13.55,12.45,12.6,17930,6.567844,19.6794
"18-Oct-17",12.65,12.95,12.65,12.75,5037,6.576822,19.6145
"19-Oct-17",13.05,13.35,13,13.15,13384,6.27629,19.4411
"20-Oct-17",13.15,13.3,12.75,13.1,10298,6.361982,19.4803
"23-Oct-17",13.05,13.05,12,12,16462,6.058473,19.3317
"24-Oct-17",12.05,12.225,11.45,11.5,21338,6.162904,19.4869
"25-Oct-17",11.55,11.75,11.25,11.5,7444,6.013783,19.4859
"26-Oct-17",11.35,11.35,11.15,11.25,5510,6.265569,19.7751
"27-Oct-17",11.2,11.45,11.15,11.15,5909,6.899749,20.2501
"30-Oct-17",11.2,11.4,10.75,11.2,14566,7.032188,19.9992
"31-Oct-17",11.25,11.675,11.1,11.45,27603,6.161009,20.2741
"01-Nov-17",11.45,11.5,11.25,11.3,5306,6.408378,20.2613
"02-Nov-17",11.3,11.5,10.95,11.2,15429,6.141715,20.27
"03-Nov-17",11.25,11.4,11.15,11.2,12004,6.065477,20.4064
"06-Nov-17",11.2,11.5,11.2,11.5,4305,6.07419,20.1747
"07-Nov-17",11.6,11.6,10.35,10.9,7723,3.927987,19.0575
"08-Nov-17",10.8,10.95,10.3,10.4,21145,4.122769,19.0428
"09-Nov-17",10.3,10.3,9.7,10.1,17462,4.056447,18.9977
"10-Nov-17",9.95,10.5,9.85,10.1,22842,3.826068,18.5665
"13-Nov-17",9.95,10.05,9.75,10,3409,3.727723,18.6333
"14-Nov-17",10.1,10.5,9.85,9.95,11918,3.584495,18.5465
"15-Nov-17",10.1,10.2,10.1,10.1,4448,3.360172,18.229
"16-Nov-17",10,10.1,9.9,9.95,4310,3.207638,18.1567
"17-Nov-17",9.8,9.95,9.8,9.95,2826,3.23067,18.1678
"20-Nov-17",10,10,9.95,10,9648,3.697783,18.6624
"21-Nov-17",9.95,10,9.5,9.75,10256,3.444391,18.5984
"22-Nov-17",9.75,9.8,9.75,9.75,2579,3.928936,18.6722
"23-Nov-17",,,,,,3.907334,18.6722
"24-Nov-17",9.55,9.65,9.4,9.45,3825,3.919526,18.6275
"27-Nov-17",9.55,9.8,9.55,9.75,3653,4.132095,18.9569
"28-Nov-17",10.4,10.4,9.85,9.95,6520,4.02908,18.8391
"29-Nov-17",11.595,11.595,9.3,9.65,33137,3.948224,18.8298
"30-Nov-17",9.45,9.8,8.7,9.2,22161,2.570818,18.5227
"01-Dec-17",9.1,9.6,9.1,9.5,4732,2.620261,18.6538
"04-Dec-17",9.65,9.95,8.7,9,8538,4.093032,12.0865
"05-Dec-17",9,9.05,8.7,8.7,5997,4.10924,11.721
"06-Dec-17",8.8,8.9,8.8,8.85,2240,4.283867,11.8446
"07-Dec-17",9,9,8.9,8.9,2020,4.367842,11.8098
"08-Dec-17",9,9.15,8.9,8.95,5715,4.659022,11.722
"11-Dec-17",9.05,9.05,8.9,8.9,1189,4.523427,11.4319
"12-Dec-17",9,9,8.85,8.95,3230,4.55723,11.4319
"13-Dec-17",9,9.75,8.9788,9.7,8122,4.677077,11.6591
"14-Dec-17",9.966,9.975,9,9.15,20102,4.597026,11.5631
"15-Dec-17",9.1,9.4,9,9.4,40319,4.383046,11.616
"18-Dec-17",9.45,10.5,9.45,10.25,9053,5.993061,13.9042
"19-Dec-17",10.4,10.65,10.15,10.5,12094,7.308317,13.3857
"20-Dec-17",11.3,12.15,10.75,10.8,6041,7.491806,13.4361
"21-Dec-17",10.8,11.025,9.9,10,13091,3.741476,19.3407
"22-Dec-17",10,10,9.85,9.9,4829,3.20326,19.4291
"25-Dec-17",,,,,,3.190013,19.4442
"26-Dec-17",9.75,10,9.75,9.9,4968,3.857196,16.8626
"27-Dec-17",10.3,10.4,9.9,10,4442,4.864092,14.4899
"28-Dec-17",9.95,9.95,9.725,9.75,6597,4.223251,13.6843
"29-Dec-17",9.95,9.95,9.75,9.8,3190,4.705124,12.4795
"01-Jan-18",,,,,,4.768136,12.4906
"02-Jan-18",9.9,9.995,9.7,9.7,6918,4.743083,12.064
"03-Jan-18",9.75,9.8,9.75,9.775,6467,4.451998,11.5425
"04-Jan-18",9.7,9.7275,9.65,9.65,3143,4.618456,11.4805
"05-Jan-18",9.6,9.65,9.5,9.55,2091,4.270109,10.1185
"08-Jan-18",9.5,9.55,9.5,9.55,2025,4.547649,9.564
"09-Jan-18",9.4,9.4,9.2,9.25,11286,4.531431,9.5565
"10-Jan-18",9.1,9.15,9.1,9.15,810,4.633242,9.6377
"11-Jan-18",9.05,9.25,9.05,9.15,7576,4.137245,8.1731
"12-Jan-18",9.95,10,9.25,9.3,18975,4.108097,8.0719
"15-Jan-18",,,,,,4.265598,8.0719
"16-Jan-18",8.95,8.95,8.25,8.55,16950,4.307192,8.2619
"17-Jan-18",8.75,8.75,7.3,7.95,18001,4.132561,8.0205
"18-Jan-18",7.75,8.35,7.7,7.7,1640648,1.215933,7.2665
"19-Jan-18",7.95,8,7.7,7.95,156540,0.463594,13.6968
"22-Jan-18",7.75,8,7.75,7.85,110933,2.914708,15.003
"23-Jan-18",7.75,7.8657,7.605,7.65,96661,4.191727,16.6848
"24-Jan-18",7.4,7.55,6,6.5,424848,3.147829,13.3121
"25-Jan-18",6.4,6.5562,6.15,6.2,113784,2.40535,14.2566
"26-Jan-18",6.2,6.25,5.8,6,150283,2.556658,14.5266
"29-Jan-18",5.9,6.7,5.9,6.6,148186,1.282429,14.7491
"30-Jan-18",6.6,6.6,6.4,6.5,58836,1.306481,14.8675
"31-Jan-18",6.5,6.85,6.5,6.6,100403,1.376739,15.0146
"01-Feb-18",6.25,6.6,6.25,6.55,272001,1.310695,14.9322
"02-Feb-18",6.55,6.55,5.7,5.75,275436,1.569952,15.1562
"05-Feb-18",5.7,6.25,5.7,6.05,149319,1.783474,16.6508
"06-Feb-18",5.85,6,5.7,5.75,52587,1.830036,15.7781
"07-Feb-18",5.85,5.85,5.45,5.6,199479,2.046464,17.3972
"08-Feb-18",5.35,5.7,5.35,5.6,135591,2.073544,18.472
"09-Feb-18",5.65,5.7,5.4,5.45,64873,2.202586,18.2415
"12-Feb-18",5.45,5.85,5.45,5.75,19143,2.30309,18.2776
"13-Feb-18",5.8,6.65,5.8,6.5,85694,2.512628,17.9581
"14-Feb-18",6.4,6.5,6.15,6.2,20166,2.414184,17.8703
"15-Feb-18",6.2,6.25,5.5,5.55,42552,2.312249,17.651
"16-Feb-18",5.6,5.65,5.4001,5.55,89472,2.235344,17.5133
"19-Feb-18",,,,,,1.849805,17.1449
"20-Feb-18",5.475,5.65,5.45,5.55,14333,2.187442,17.4882
"21-Feb-18",5.6,5.675,5.55,5.55,27468,2.074031,17.4485
"22-Feb-18",5.55,5.65,5.5,5.65,19215,2.068856,17.4624
"23-Feb-18",5.65,5.65,5.4,5.45,23586,2.059839,17.5075
"26-Feb-18",5.5,5.85,5.45,5.75,19111,2.084476,17.4203
"27-Feb-18",5.75,5.75,5.55,5.6,18088,2.115387,17.4438
"28-Feb-18",5.6,5.6,5.3,5.4,21465,2.556268,18.7902
"01-Mar-18",5.5,5.7,5.15,5.5,37308,2.377969,19.095
"02-Mar-18",5.4,5.7,5.2,5.3,82864,2.360064,19.144
"05-Mar-18",5.8,5.95,5.5,5.75,18099,2.371579,19.2824
"06-Mar-18",5.75,6.3,5.75,5.85,22462,2.34645,19.167
"07-Mar-18",5.85,6.15,5.8,5.9,12302,2.360128,18.8708
"08-Mar-18",5.9,5.95,5.8,5.9,7350,2.362489,18.887
"09-Mar-18",5.8,5.9,5.65,5.85,14550,2.033336,19.3756
"12-Mar-18",5.8,5.95,5.7747,5.95,14920,2.037559,19.4116
"13-Mar-18",6,6,5.75,5.75,13663,2.0347,19.6319
"14-Mar-18",5.7,5.7,5.405,5.6,15071,2.132894,19.4947
"15-Mar-18",5.55,5.633,5.5,5.55,16864,1.875759,19.6308
"16-Mar-18",5.5,6,5.45,5.55,301488,1.794326,19.6117
"19-Mar-18",5.85,6.2,5.8,6.05,86901,1.809022,19.3838
"20-Mar-18",6.15,6.2,5.9,6,54620,2.234395,16.3351
"21-Mar-18",5.95,5.95,5.8,5.875,47666,2.483576,16.5813
"22-Mar-18",5.85,5.8843,5.8,5.85,14950,2.614175,16.8562
"23-Mar-18",5.9,5.95,5.75,5.75,17630,2.681643,17.1383
"26-Mar-18",5.8,5.9,5.4,5.7,20347,2.723342,17.3404
"27-Mar-18",5.5,6,5.45,5.5,61972,2.686247,17.2075
"28-Mar-18",5.45,5.85,5.25,5.5,76402,3.016431,17.1525
"29-Mar-18",5.3,5.5,5.25,5.5,22709,2.69269,16.8371
"30-Mar-18",,,,,,2.378683,16.4797
"02-Apr-18",5.5,5.5,5.25,5.3,14100,2.578228,16.746
"03-Apr-18",5.3,5.35,5.15,5.35,37968,3.051595,17.247
"04-Apr-18",5.5,5.6,5.4,5.45,18454,3.015089,17.1196
"05-Apr-18",5.5,5.5,5.325,5.5,31877,2.807212,18.3507
"06-Apr-18",5.8,5.8,5.375,5.5,24599,2.727768,18.3413
"09-Apr-18",5.5,6.15,5.45,5.9,13799,2.775768,18.4327
"10-Apr-18",5.8,5.95,5.75,5.8,22092,3.158522,17.9064
"11-Apr-18",5.75,5.75,5.4,5.55,30279,3.290143,18.031
"12-Apr-18",5.55,5.6,5.4,5.45,12886,3.26957,18.0225
"13-Apr-18",5.5,5.5,5.3399,5.45,13893,3.129006,17.9543
"16-Apr-18",5.3,5.5,5.3,5.45,32315,3.09979,17.875
"17-Apr-18",5.3,5.45,5.275,5.4,13271,3.142008,17.8656
"18-Apr-18",5.45,5.45,5.2248,5.4,28425,3.106241,17.8813
"19-Apr-18",5.4,5.45,5.35,5.4,13668,4.00561,18.1429
"20-Apr-18",5.35,5.5093,5.25,5.4,15704,4.822219,17.6221
"23-Apr-18",5.35,5.35,5.25,5.25,26262,4.275126,18.1569
"24-Apr-18",5.15,5.15,4.4,4.85,202675,3.730324,19.015
"25-Apr-18",4.784,4.8712,4.7,4.75,17917,4.071171,19.0105
"26-Apr-18",4.8,4.85,4.75,4.8,11260,6.080932,16.0515
"27-Apr-18",4.85,5,4.85,4.9,51433,5.441364,15.4881
"30-Apr-18",4.9,5,4.85,5,15152,5.623065,15.5091
"01-May-18",4.85,5,4.775,4.95,18863,5.83496,15.4347
"02-May-18",4.95,5.05,4.9,4.95,42892,6.237021,15.4051
"03-May-18",4.95,5,4.75,4.85,108681,6.804932,15.4458
"04-May-18",4.85,5.05,4.85,5,16899,7.134191,15.2783
"07-May-18",5,5.3,5,5.25,23575,7.061661,15.1224
"08-May-18",5.325,5.35,5.15,5.2,31852,7.615583,17.4111
"09-May-18",5.25,6.35,5.25,5.6,101662,7.98664,17.5597
"10-May-18",5.6,6.4,5.5,6.35,46003,8.246847,17.521
"11-May-18",6.2,6.35,6.2,6.3,16918,8.096985,17.7866
"14-May-18",6.35,6.5,6.05,6.35,87496,8.007755,17.8441
"15-May-18",6.6,6.85,6.5,6.7,54126,7.809242,17.7875
"16-May-18",6.65,6.75,6.45,6.5,75872,7.460925,17.8597
"17-May-18",6.2,6.25,5.25,5.5,161390,7.211727,17.6974
"18-May-18",5.5,5.95,5.5,5.9,163726,6.361855,17.133
"21-May-18",6.05,6.55,5.95,6.45,110473,6.318748,17.0598
"22-May-18",6.4,6.6,6.25,6.25,56249,7.032188,16.9849
"23-May-18",6.25,6.55,6.15,6.55,22155,7.430092,17.0285
"24-May-18",6.65,6.65,6.45,6.55,30612,7.160773,17.0879
"25-May-18",6.5,6.75,6.5,6.65,70258,7.201894,16.9542
"28-May-18",,,,,,6.965817,17.0879
"29-May-18",6.65,6.95,6.65,6.7,42135,6.739884,16.9345
"30-May-18",6.7,6.7,6.45,6.65,27653,8.196237,16.3893
"31-May-18",6.7,6.725,6.55,6.55,82131,8.65459,16.217
"01-Jun-18",6.55,6.7,6.5,6.6,27706,8.456277,16.0257
"04-Jun-18",6.7,6.7,5.8,5.95,229152,9.24574,16.0661
"05-Jun-18",5.9,6.05,5.875,5.95,107628,9.144763,16.0167
"06-Jun-18",5.95,6,5.8,5.8,41822,10.005291,15.0107
"07-Jun-18",5.85,5.85,5.6,5.65,49583,10.4877,15.0957
"08-Jun-18",5.7,5.85,5.65,5.7,57597,10.775512,15.1935
"11-Jun-18",5.75,5.75,5.6,5.75,30147,11.040367,15.1008
"12-Jun-18",5.7,6,5.6,5.9,45473,11.551681,15.1437
"13-Jun-18",5.9,5.9,5.75,5.8,97811,11.248439,15.0737
"14-Jun-18",5.85,5.95,5.6,5.65,96777,11.034582,15.1272
"15-Jun-18",5.6,5.9,5.6,5.9,80311,9.272664,15.1648
"18-Jun-18",6,6,5.575,5.65,134315,9.175197,15.1375
"19-Jun-18",5.8,6.15,5.8,6.05,108231,10.76314,15.3807
"20-Jun-18",6.1,6.175,5.905,6.1,54756,8.043761,15.2986
"21-Jun-18",6.05,6.5,6,6.4,76583,7.834637,15.141
"22-Jun-18",6.4,6.6,6.375,6.5,650124,6.362347,15.056
"25-Jun-18",6.608,6.75,6.15,6.25,62899,6.137665,15.0621
"26-Jun-18",6.25,6.55,6.15,6.45,35488,5.961348,15.0514
"27-Jun-18",6.45,6.5,6.1,6.1,43283,5.916814,15.1874
"28-Jun-18",6.15,6.25,6.15,6.2,18922,5.861194,15.154
"29-Jun-18",6.25,6.25,6.15,6.25,6373
"02-Jul-18",6.25,6.3,6.15,6.3,13144,6.357644,15.221
"03-Jul-18",6.55,6.8746,6.55,6.75,26198,5.894073,15.2406
"04-Jul-18",,,,,,5.465412,14.8816
"05-Jul-18",6.85,6.85,6.6,6.6,14067,5.891981,15.2332
"06-Jul-18",6.45,6.65,5.95,6.05,133851,5.763479,15.2401
"09-Jul-18",6.25,6.25,5.65,5.85,69120,5.727364,15.1784
"10-Jul-18",5.8,6.35,5.8,6.05,12938,5.517844,15.5
"11-Jul-18",6.1,6.2,6,6.1,18504,5.147897,15.4254
"12-Jul-18",6.05,6.25,6,6.15,11136,6.691949,15.4455
"13-Jul-18",6.15,6.25,6.1,6.2,26537,6.69612,15.4424
"16-Jul-18",6.15,6.3,6.15,6.2,29686,6.67866,15.4423
"17-Jul-18",6.25,6.35,6.2,6.25,31264,6.71216,15.4499
"18-Jul-18",6.2,6.3,6.1,6.1,42042,6.657738,15.4484
"19-Jul-18",6.1,6.4,6.05,6.25,127925,6.555707,15.4438
"20-Jul-18",6.3,6.4,5.4108,6.4,33841,4.434622,15.1164
"23-Jul-18",6.313,6.5,6.25,6.4,14965,6.46222,14.6317
"24-Jul-18",6.45,6.6,6.15,6.5,26833,6.686542,14.6232
"25-Jul-18",6.55,6.7,6.35,6.6,45025,6.98647,14.6077
