"Date","open INSE Price in USD","high INSE Price in USD","low INSE Price in USD","close INSE Price in USD","INSE Volume","Days to cover 3m (on loan)","Cost To Borrow","Exchange Reported SI","Estimated Short Interest","Dividends","hidden"
"29-Dec-16",8.25,8.25,7.5,8.1,13988
"02-Jan-17",,,,,,0.021161
"03-Jan-17",7.75,8,7.2715,8,25914,0.049922
"04-Jan-17",8.4,8.4,7.85,7.85,15335,0.130133
"05-Jan-17",8.2,8.2,7.5,7.97,13573,0.162539
"06-Jan-17",8.1,8.1,7.9,7.9,641,0.403168
"09-Jan-17",7.95,8,7.505,8,5250,0.891566
"10-Jan-17",,,,,,0.618474
"11-Jan-17",7.55,7.55,7.3,7.35,1400,0.699043
"12-Jan-17",7.5,7.65,7.5,7.55,10388,0.665988
"13-Jan-17",,,,,,0.02775
"16-Jan-17",,,,,,0.02775
"17-Jan-17",7.4,7.6,7.4,7.5,2400,0.030374
"18-Jan-17",7.5,7.8,7.45,7.45,4270,0.032203
"19-Jan-17",7.5,7.7,7.3,7.3,42793,0.024274
"20-Jan-17",7.4,7.5,7.4,7.5,27304,0.080853
"23-Jan-17",7.5,7.55,7.4,7.5,15089,0.436548
"24-Jan-17",7.5,7.6,7.45,7.56,5425,2.482782
"25-Jan-17",7.5,7.5,7.5,7.5,402,0.520362
"26-Jan-17",7.5,7.55,7.5,7.5,1507,0.748729
"27-Jan-17",7.5,7.75,7.5,7.7,3646,0.277364
"30-Jan-17",7.7423,7.7423,7.6,7.65,809,0.557512
"31-Jan-17",7.8,7.9,7.8,7.9,1920,0.533142
"01-Feb-17",7.95,8.2,7.95,8.2,9842,0.504111
"02-Feb-17",8.15,8.25,8.125,8.15,4627,0.670022
"03-Feb-17",8.1,8.3,8.1,8.2,2722,0.65072
"06-Feb-17",8.1,8.2,8.1,8.15,2541,1.008797
"07-Feb-17",8.15,8.2,7.825,8,17537,0.710518
"08-Feb-17",8,8.35,8,8.15,9108,0.639614
"09-Feb-17",8.2,8.5,8.15,8.15,2369,0.626215
"10-Feb-17",8.35,8.7,8.15,8.5,34781,0.685804
"13-Feb-17",,,,,,0.666209
"14-Feb-17",8.6,8.95,8.4,8.95,1063,0.698381
"15-Feb-17",8.45,8.75,8.105,8.75,4308,0.216763
"16-Feb-17",,,,,,0.237407
"17-Feb-17",8.9,9.5,8.9,9.25,5196,0.272594
"20-Feb-17",,,,,,0.272594
"21-Feb-17",9.35,9.4,8.85,9.05,5036,0.255509
"22-Feb-17",8.5,9.05,8.5,8.65,1621,0.262295
"23-Feb-17",8.5,8.9,8.35,8.35,5273,0.243551
"24-Feb-17",,,,,,0.808148
"27-Feb-17",8.75,9,8.75,8.95,1836,0.9296
"28-Feb-17",9.05,9.05,9.05,9.05,794,0.849628
"01-Mar-17",9.05,9.05,9.05,9.05,623,0.872162
"02-Mar-17",9.05,9.05,9.05,9.05,636,1.200833
"03-Mar-17",9.05,9.05,9.05,9.05,697,1.230383
"06-Mar-17",,,,,,1.230383
"07-Mar-17",8.4,9.1,8.4,9.05,10334,1.221032
"08-Mar-17",9.75,9.75,9.25,9.5,3296,1.239408
"09-Mar-17",9.45,9.75,9.45,9.5,3608,1.256088
"10-Mar-17",9.15,10.05,9.15,10,9537,0.63743
"13-Mar-17",10.25,11.35,10.25,10.9,61125,0.77067
"14-Mar-17",10.95,11,10.55,10.95,35528,0.733168
"15-Mar-17",10.75,10.85,10.6,10.85,66093,0.722319
"16-Mar-17",10.8,10.875,10.7371,10.85,251246,0.365054
"17-Mar-17",9.85,10.95,9.85,10.25,107845,0.325751
"20-Mar-17",10.2,10.65,9.05,10.45,10302,0.339833
"21-Mar-17",10.45,11.3,10.1,10.9,4886,0.237516
"22-Mar-17",10.05,11.25,10,10.85,11555,0.461959
"23-Mar-17",11,11.2,10.7,10.95,4751,0.415969
"24-Mar-17",10.7,10.9,10.1,10.75,10954,0.407285
"27-Mar-17",10.75,10.9,10.2,10.4,5446
"28-Mar-17",10.6,10.85,10.3845,10.45,11390
"29-Mar-17",10.15,10.15,9.4,10.05,7333
"30-Mar-17",10.3,10.5,10,10.45,7231
"31-Mar-17",10.5,10.8,10.159,10.6,5517
"03-Apr-17",10.7,10.8,10.3,10.55,3562,0.322101
"04-Apr-17",10.2738,10.5531,10.15,10.15,1193,0.318269
"05-Apr-17",10.8795,10.8795,10.3,10.45,2618,0.368051
"06-Apr-17",11,11.05,10.4,10.5,2584,0.392285
"07-Apr-17",10.85,11.5,10.65,10.8,21819,0.402145
"10-Apr-17",10.85,10.85,10.2,10.35,2218,0.313841
"11-Apr-17",10.5,10.6,10.15,10.3,8712,0.316251
"12-Apr-17",10.2,10.3,9.8,10.25,6701,0.166827
"13-Apr-17",10.5,10.5,9.95,10.05,2639,0.213565
"14-Apr-17",,,,,,0.213565
"17-Apr-17",10.1,10.1,9.65,9.65,5233,0.124362
"18-Apr-17",10.1,10.1,9.25,9.3,1597,0.203079
"19-Apr-17",10.1,10.25,9.4,10,5837,0.281211
"20-Apr-17",9.708,10,9.65,9.65,2828,0.266867
"21-Apr-17",9.8,9.85,9.625,9.85,8390,0.314839
"24-Apr-17",9.8,9.85,9.75,9.85,1202,0.341443
"25-Apr-17",9.85,9.9,9.75,9.9,2966,0.271119
"26-Apr-17",9.85,9.95,9.8025,9.9,3254,0.284394
"27-Apr-17",9.95,10.7,9.9,10.1,8940,0.303009
"28-Apr-17",10.65,10.65,9.85,10.1,2859,0.380899
"01-May-17",10.25,10.4,10.2,10.35,1311,0.423699
"02-May-17",10.4,10.7,10.3,10.35,9982,0.416667
"03-May-17",10.4,10.7,10,10.35,7721,0.401301
"04-May-17",10.4,10.7,10.4,10.5,2297,0.408418
"05-May-17",10.75,10.75,10.5,10.55,1932,0.32317
"08-May-17",10.6,10.733,10.3,10.3,7813,0.189235
"09-May-17",10.1,10.25,8.755,10.25,10914,0.146863
"10-May-17",10,10.4,10,10.35,2891,0.181717
"11-May-17",9.65,10.95,9.65,10.45,6063,0.267864
"12-May-17",10.45,10.75,10.45,10.75,3413,0.205339
"15-May-17",10.95,11.1,10.85,11,6447
"16-May-17",11,11.35,10.55,11.2,8579
"17-May-17",10.95,11.2,10.9,11.2,5488
"18-May-17",11.2,11.4,11.2,11.4,3626
"19-May-17",11.5,12.1,11.2,11.95,21207
"22-May-17",11.9,12.25,11.9,12.15,18437
"23-May-17",12.025,12.15,11.4,11.525,15896
"24-May-17",10.5,11.5,10.45,10.85,11991
"25-May-17",11.15,12.2,11.15,11.775,9550
"26-May-17",11.95,12,11.5,11.8,23762
"30-May-17",12.2,12.2,11.6,11.75,9028
"31-May-17",11.85,12.25,11.75,12.25,17739
"01-Jun-17",12.2,12.2,11.85,11.95,11224
"02-Jun-17",11.925,12.35,11.4,12.15,13699
"05-Jun-17",12.3858,12.3858,11.25,12.25,16994
"06-Jun-17",11.85,12.1,11.1,11.65,11423
"07-Jun-17",12.05,12.7,12.05,12.45,11898
"08-Jun-17",12.35,13,12.35,12.9,24960
"09-Jun-17",12.8,13.3,12.75,13,28553
"12-Jun-17",12.8,12.8,11.15,11.2,24179
"13-Jun-17",11.35,11.9,11.175,11.25,11316
"14-Jun-17",11.45,12.4,11.25,11.6,45746
"15-Jun-17",11.5,12.15,11.45,11.65,11525
"16-Jun-17",11.75,12.15,11.2,11.2,42278
"19-Jun-17",11.7,11.75,11.4,11.5,14943
"20-Jun-17",11.4,12.28,11.4,11.95,13917
"21-Jun-17",11.9,12.2,11.55,11.8,15042
"22-Jun-17",11.9,12,11.55,11.75,20766
"23-Jun-17",11.65,11.75,10.45,10.9,344200
"26-Jun-17",10.8,12.3,10.65,12.1,24467
"27-Jun-17",12.4,12.4,11.5,11.95,13946
"28-Jun-17",11.65,12.4,11.65,12,9510
"29-Jun-17",12.2,13.3,12.05,13.1,43302
"30-Jun-17",12.95,13.75,12.75,13,19049
"03-Jul-17",12.9,13.45,12.8,13.15,3426,11.722948
"04-Jul-17",,,,,,11.578543
"05-Jul-17",13.15,13.15,12.95,13,6094,12.989665
