"Date","open PHUN Price in USD","high PHUN Price in USD","low PHUN Price in USD","close PHUN Price in USD","PHUN Volume","Days to cover 3m (on loan)","Cost To Borrow","Exchange Reported SI","Estimated Short Interest","Dividends","hidden"
"28-Dec-18",11.75,12.85,10.15,10.84,9212
"31-Dec-18",11.4036,14.26,11.4036,14.26,2360
"02-Jan-19",,,,,,0.069132,5.955
"03-Jan-19",15,26.75,15,26.676,14425,0.150012,4.917
"04-Jan-19",32.1,82.25,32.1,54.06,19819,0.113497,4.917
"07-Jan-19",60,84,60,62.31,10323,0.115782,4.917
"08-Jan-19",76.9,85,69.8622,85,11305,0.115648,4.917
"09-Jan-19",87.05,220,87.05,220,11301,0.115566,4.917
"10-Jan-19",228,550,75,157,29339,0.096225,4.917
"11-Jan-19",156.69,156.69,86.2,91.06,8348,0.069568,4.4402
"14-Jan-19",96,107,96,105,4164,0.014842,4.4402
"15-Jan-19",184.9,200,130.01,147,8739,0.00085,11.1648
"16-Jan-19",147,147,130,139,4587,0.359319,4.644
"17-Jan-19",138.84,138.84,119,131.2,6095,0.372296,70.0229
"18-Jan-19",140,165.01,140,149,3690,0.40039,68.4276
"21-Jan-19",,,,,,0.371164,73.3467
"22-Jan-19",130.41,130.41,76,100,19115,1.225702,126.4774
"23-Jan-19",101.52,119.47,88,88,9853,1.223592,123.9892
"24-Jan-19",90,94.5,90,94.5,3219,1.304243,120.6197
"25-Jan-19",99.7262,110,99.7262,110,3261,0.82337,176.8798
"28-Jan-19",119.633,130,118.66,130,5876,0.851818,172.2679
"29-Jan-19",169.2,204.7,142,142,4482,0.84371,171.7666
"30-Jan-19",176,187,158.405,180,5422,0.850479,170.7019
"31-Jan-19",200,297.8,199.77,297.8,9683,0.673583,129.5656
"01-Feb-19",330,330,308.4,308.4,4057,0.68544,122.687
"04-Feb-19",200.2,250,200.2,250,8372,0.756192,115.6055
"05-Feb-19",261.03,261.03,218.925,230,4203,0.666102,121.6583
"06-Feb-19",168.8,168.8,114.75,119,19738,0.657568,123.3111
"07-Feb-19",125,126.63,119.4249,120.375,7245,0.6526,121.9543
"08-Feb-19",119.75,125,119.75,121.5,5540,0.6841,119.8762
"11-Feb-19",123.995,123.995,110,120,7454,0.754885,151.2517
"12-Feb-19",125,125,113.41,113.41,3922,0.791582,149.1228
"13-Feb-19",115,115,95,95.85,9611,0.800632,147.3555
"14-Feb-19",90.38,90.38,48.46,50.2,34270,1.221497,103.5489
"15-Feb-19",45,50.16,35,40,52116,2.037281,70.4603
"18-Feb-19",,,,,,2.019006,70.6887
"19-Feb-19",41,55.3,37.95,38.6217,26173,0.842697,68.8815
"20-Feb-19",40.57,45,34.4262,38.61,69020,1.073784,52.1209
"21-Feb-19",40,40.25,35.55,40.155,16917,1.734368,50.4143
"22-Feb-19",39,39,36,38.5,12758,1.291337,67.6815
"25-Feb-19",39.5,40.5,36.5633,37.9,4985,1.787787,68.6259
"26-Feb-19",38.01,38.01,35.75,36.63,10965,1.748116,69.8614
"27-Feb-19",35.5585,35.5585,31.0149,32,21272,2.683281,65.5984
"28-Feb-19",28.89,29.93,26.635,29.54,19996,2.656604,66.4495
"01-Mar-19",29.11,29.355,27,27.745,4989,2.650732,66.7816
"04-Mar-19",29.54,34,29,33.5,18777,2.692249,73.9263
"05-Mar-19",35,35.99,29.5,30.3,7933,2.869825,92.214
"06-Mar-19",30.15,35.45,30.15,35,10783,2.834972,89.9062
"07-Mar-19",36.5,36.5,32.12,36,15710,2.891235,94.9622
"08-Mar-19",35.44,43.75,34,40.1,23321,2.729687,89.0505
"11-Mar-19",40.13,51.1548,40.13,45.16,23241,2.940741,104.6874
"12-Mar-19",46.9642,53.82,46.9642,52.48,37659,3.230187,129.054
"13-Mar-19",54,62.5,53.105,61.5,48673,3.370557,141.6991
"14-Mar-19",67.21,72.7593,64,66,48385,3.529941,156.1979
"15-Mar-19",68,71.5,38.28,53.55,58197,3.640715,149.9159
"18-Mar-19",53.77,53.77,46.0001,50.355,10142,3.548234,159.9648
"19-Mar-19",50.3,50.3,40.0572,41.5,20442,3.875705,173.8875
"20-Mar-19",37,37,27.29,27.82,80139,4.089123,186.406
"21-Mar-19",31.93,44.49,30.01,43.02,85366,3.858408,191.7576
"22-Mar-19",46.98,49.499,40,44.48,62099,3.64848,194.5165
"25-Mar-19",44,44,35.21,36.65,52067,3.635127,196.6205
"26-Mar-19",37.99,37.99,34,34.9,35281,3.717241,200.531
"27-Mar-19",33.5,33.5,14.2,17,1143598,1.92486,200.531
"28-Mar-19",18.5,18.5,14.48,14.51,332093,1.72315,201.378
"29-Mar-19",14,14.51,11.9,13.69,574120,1.47571,241.4922
"01-Apr-19",14.08,14.89,12.35,12.47,339847,1.33598,241.5118
"02-Apr-19",12.89,14.74,12.89,14.01,264170,1.264198,241.4922
"03-Apr-19",14.47,15.95,5.27,5.52,2911058,0.579248,237.9563
"04-Apr-19",5.79,6.44,5,6.02,1380497,0.530591,271.3887
"05-Apr-19",5.75,6.05,5.45,5.75,987181,0.285851,279.0278
"08-Apr-19",5.75,5.75,5.25,5.27,423497,0.734508,266.1708
"09-Apr-19",5.49,5.82,5.21,5.4,631404,1.317791,274.2736
"10-Apr-19",5.56,5.589,5.12,5.22,261848,1.274354,273.629
"11-Apr-19",5.42,9.26,5.3,8.88,6269793,0.699163,262.4462
"12-Apr-19",9.34,11.2,7.7,8.19,5313384,0.614901,248.073
"15-Apr-19",9.51,9.7,8.56,9.13,2219355,1.912387,254.6814
"16-Apr-19",9.34,9.34,7.4,7.75,911491,1.869067,251.6563
"17-Apr-19",7.75,7.94,6.39,6.98,599113,1.9007,253.8365
"18-Apr-19",6.92,8.13,6.55,7.45,706812,2.044486,257.8106
"19-Apr-19",,,,,,2.028809,258.0386
"22-Apr-19",7.45,7.78,7.16,7.51,171737,1.474629,252.6195
"23-Apr-19",7.6,7.71,7,7.2,192710,1.074606,249.1099
"24-Apr-19",7.3,9.1,7.05,7.68,1076198,1.366865,251.9147
"25-Apr-19",7.82,8.49,7.7101,8.08,676493,0.889416,242.7004
"26-Apr-19",8.3,8.3,7.55,7.88,235990,1.045025,234.278
"29-Apr-19",7.88,8.6355,7.7,8.3,564180,0.938051,232.6966
"30-Apr-19",8.3,8.4634,7.8801,8.1,204889,0.866914,231.3839
"01-May-19",8.81,8.83,8.22,8.43,984131,0.770164,230.1267
"02-May-19",8.35,8.4,7.9,8.18,243398,0.734758,229.5204
"03-May-19",8.23,8.5,7.98,8.29,268057,0.767067,229.2987
"06-May-19",7.82,8.188,7.65,7.65,251311,0.729165,230.0386
"07-May-19",7.83,7.9999,7.55,7.58,154729,0.692274,229.9776
"08-May-19",7.6,7.68,7.1526,7.34,214549,0.678245,229.8807
"09-May-19",7.18,7.3599,6.9,7.1,153386,0.676052,230.2897
"10-May-19",7.16,7.67,7.13,7.48,189751,0.673143,231.0044
"13-May-19",7.21,7.3,7,7.25,121744,0.630255,232.7656
"14-May-19",7.3,7.65,7.25,7.65,116937,0.570599,234.6403
"15-May-19",7.4,7.74,7.31,7.33,162106,0.578035,235.0529,208709
"16-May-19",7.45,7.58,6.75,6.9,231022,0.588075,234.9535
"17-May-19",6.81,6.8865,5.9,6.02,472425,0.58645,234.8483
"20-May-19",5.95,6.0913,5.55,5.62,176699,0.696178,233.5229
"21-May-19",5.99,5.99,5.5,5.58,178219,0.612076,234.5219
"22-May-19",5.56,5.6,5.15,5.17,285484,0.585957,234.6176
"23-May-19",5.17,5.17,4.99,5.06,249936,0.59158,234.1391
"24-May-19",5.13,5.24,4.75,5.02,334268,0.449208,230.7899,,165694.0751
"27-May-19",,,,,,0.435376,230.7899,,165694.0751
"28-May-19",5.01,5.05,4.8,4.94,87778,0.343707,229.5709,,131069.252
"29-May-19",4.8,5,4.7117,4.95,133634,0.321249,227.8744,,121030.3491
"30-May-19",5.03,5.19,4.93,5,305104,0.307995,227.7726,,115249.1098
"31-May-19",4.9,4.99,4.76,4.83,100323,0.262869,227.4464,123685,97133.1686
"03-Jun-19",4.84,4.89,4.57,4.57,112538,0.047596,201.6464,,17907.2322
"04-Jun-19",4.6,4.7796,4.4511,4.55,171849,0.042112,197.9445,,15674.0459
"05-Jun-19",4.59,4.6399,4.36,4.42,153419,0.041203,196.695,,15402.7242
"06-Jun-19",4.43,4.5,4.15,4.16,146349,0.036769,193.4037,,13795.6649
"07-Jun-19",4.17,4.32,4.1372,4.24,103614,0.036302,192.7471,,13649.5686
"10-Jun-19",4.27,5,4.2,4.42,466868,0.051708,211.6816,,19994.3222
"11-Jun-19",4.38,4.59,4.21,4.29,160266,0.047908,226.656,,23339.3595
"12-Jun-19",4.29,4.5,4.2589,4.39,156548,0.043918,225.1194,,21471.716
"13-Jun-19",4.38,4.44,4.28,4.35,75061,0.041153,223.1733,,20135.918
"14-Jun-19",4.35,4.5,4.13,4.2,158165,0.086394,237.5479,56388,42411.5865
"17-Jun-19",4.21,4.3617,3.84,3.92,166656,0.059517,237.2102,,29721.5055
"18-Jun-19",3.92,4.08,3.8,3.81,199690,0.127944,243.9644,,63264.8775
"19-Jun-19",3.81,3.85,3.5,3.51,250945,0.121929,242.4363,,60692.2295
"20-Jun-19",3.6,5.5,3.57,3.61,2677123
"21-Jun-19",3.65,3.97,3.56,3.61,329229
"24-Jun-19",3.62,3.65,3.15,3.19,329940,0.310517,253.3042,,170264.771
"25-Jun-19",3.59,3.89,3.23,3.28,2221563,0.540679,252.6409,,409906.9272
"26-Jun-19",3.25,3.39,2.8,2.93,910354,0.516043,249.9775,,399272.1504
"27-Jun-19",2.86,2.9295,2.55,2.59,756187,0.654696,251.6227,,515110.0188
"28-Jun-19",2.84,3.86,2.6906,3.11,5465249,0.603823,248.6524,128383,522446.0976
"01-Jul-19",3.08,3.0899,2.8,2.88,1070444,0.397571,246.1444,,350569.8348
"02-Jul-19",2.86,2.9357,2.6,2.68,1104267,0.260243,255.2213,,233141.8248
"03-Jul-19",2.62,2.65,2.4,2.42,1200831,0.265632,239.4838,,242558.6208
"04-Jul-19",,,,,,0.277806,239.4838,,242558.6208
"05-Jul-19",2.4,2.4,2.11,2.18,1410795,0.438093,242.2118,,382756.1052
"08-Jul-19",2.3,2.38,2.01,2.05,2159369,0.74281,243.7342,,665282.5404
"09-Jul-19",2.05,2.3,1.9,2.24,2309939,0.691303,240.3257,,643573.1604
"10-Jul-19",2.12,2.23,2.05,2.07,1217959,0.546074,232.0039,,126393.0635
"11-Jul-19",2.03,2.18,1.97,2.12,1078423,0.480418,225.7444,,113002.7166
"12-Jul-19",2.07,2.15,1.98,2.04,1189834,0.26355,204.8733,,55833.7667
"15-Jul-19",2.06,2.12,1.99,2.08,707453,0.320366,167.4059,268909,61084.6314
