"Date","open RIDE Price in USD","high RIDE Price in USD","low RIDE Price in USD","close RIDE Price in USD","RIDE Volume","Days to cover 3m (on loan)","Exchange Reported SI","Dividends","hidden"
"14-Aug-20",,,,,,,839029
"31-Aug-20",,,,,,,1578327
"15-Sep-20",,,,,,,2774036
"30-Sep-20",,,,,,,3361566
"15-Oct-20",,,,,,,3986616
"26-Oct-20",19.32,21.75,18.21,18.97,4986198
"27-Oct-20",19.06,19.5,16.5,16.56,5341006
"28-Oct-20",14.52,14.87,13.54,14.03,6405202
"29-Oct-20",14.74,15.48,14.55,14.74,3439378
"30-Oct-20",14.4,14.6,12.8,13.05,3405885,,4252727
"02-Nov-20",13.76,13.95,13,13.07,2131216
"03-Nov-20",13.61,17.7,13.55,15.99,12244070
"04-Nov-20",17.25,18.85,16.55,16.85,9347607
"05-Nov-20",17.77,18.5,17.2,18.1,4340260
"06-Nov-20",17.91,18.5,16.9,17.89,2782013,1.064416
"09-Nov-20",18.59,18.95,17.2901,17.86,3459846,1.111175
"10-Nov-20",17.66,17.6999,16.05,16.76,2568638,1.136123
"11-Nov-20",16.82,17.45,16.41,17.34,1526235,1.202316
"12-Nov-20",17,17.3,16.63,16.7,2883294,1.247171
"13-Nov-20",17.2,18.1894,16.85,17.9,3281050,1.267203,5224392
"16-Nov-20",18.89,22.75,18.65,22.55,9119259,1.202045
"17-Nov-20",22.82,25.76,22.25,24.7,13444170,1.126088
"18-Nov-20",26.5,29.7,25.98,27.5,18332960,0.975834
"19-Nov-20",27.97,29.42,25,25.44,11895620,0.946353
"20-Nov-20",25.88,27.3,25.58,26.46,6534098,0.961801
"23-Nov-20",27.37,29.41,27,28.6,7420890,0.946688
"24-Nov-20",30.077,30.75,26.14,27.37,7752446,0.925437
"25-Nov-20",26.13,28.37,25.85,27.12,4244302,0.909841
"26-Nov-20",,,,,,0.913583
"27-Nov-20",27,27.15,25.96,26.5,3047004,0.964342
"30-Nov-20",25.892,25.9,23.13,24.6,5194913,0.981253,6565904
"01-Dec-20",24.95,25.37,23.2,23.41,4047836,1.035771
"02-Dec-20",20.75,22.7,20,22.08,5645010,1.038886
"03-Dec-20",23,23.79,22.7,22.99,3346466,1.068458
"04-Dec-20",22.72,24.266,22,23.47,3703168,1.0933
"07-Dec-20",21.841,21.9,20.02,20.08,12452550,1.019196
"08-Dec-20",20.82,20.9,19.25,19.37,9036550,1.001763
"09-Dec-20",19.72,20.62,19,19.2,6375605,1.044687
"10-Dec-20",18.25,19.2,18.05,18.17,6751234,0.902043
"11-Dec-20",20.37,21.75,19.4001,19.58,20829410,0.844217
"14-Dec-20",19.995,20.3,18.96,19,7355890,0.517609
"15-Dec-20",19.9,20.85,19.22,20.71,11294600,0.622749,4161097
"16-Dec-20",20.71,21,19.03,19.36,11562300,0.542722
"17-Dec-20",19.35,19.8,18.86,19.22,9349296
"18-Dec-20",19.24,19.48,18.68,18.72,15109710,0.548627
"21-Dec-20",18.51,19.45,18.21,19.35,9300753,0.700957
"22-Dec-20",19.75,21.17,19.72,20.52,13601770,0.814921
"23-Dec-20",21.79,24.17,21,22.61,24333490,0.904033
"24-Dec-20",23.39,23.6,21.31,21.74,10092220,0.943428
"25-Dec-20",,,,,,0.957723
"28-Dec-20",22.77,23.31,21.25,21.98,16418940,1.073272
"29-Dec-20",21.8,22.2,20.26,21.34,7060694,0.991909
"30-Dec-20",21.1,22.36,21.02,21.52,8187251,1.237779
"31-Dec-20",21.38,21.46,20.02,20.06,5769470,1.149025,7550127
"01-Jan-21",,,,,,1.17309
"04-Jan-21",20.34,20.44,19.25,20.38,5467841,1.16269
"05-Jan-21",19.96,20.89,19.9,20.55,5865410,1.10049
