"Date","open RIDE Price in USD","high RIDE Price in USD","low RIDE Price in USD","close RIDE Price in USD","RIDE Volume","Days to cover 3m (on loan)","Exchange Reported SI","Dividends","hidden"
"14-Aug-20",,,,,,,839029
"31-Aug-20",,,,,,,1578327
"15-Sep-20",,,,,,,2774036
"30-Sep-20",,,,,,,3361566
"15-Oct-20",,,,,,,3986616
"26-Oct-20",19.32,21.75,18.21,18.97,4986198
"27-Oct-20",19.06,19.5,16.5,16.56,5341006
"28-Oct-20",14.52,14.87,13.54,14.03,6405202
"29-Oct-20",14.74,15.48,14.55,14.74,3439378
"30-Oct-20",14.4,14.6,12.8,13.05,3405885,,4252727
"02-Nov-20",13.76,13.95,13,13.07,2131216
"03-Nov-20",13.61,17.7,13.55,15.99,12244070
"04-Nov-20",17.25,18.85,16.55,16.85,9347607
"05-Nov-20",17.77,18.5,17.2,18.1,4340260
"06-Jan-21",21.07,21.9,20.66,21.58,10682580,1.024133
"07-Jan-21",22.385,23.48,22.12,23.29,13452000,1.07768
"08-Jan-21",23.3061,23.86,21.1556,21.98,14768070,1.022214
"11-Jan-21",22.43,28.7,21.75,27.11,41048590,0.891258
"12-Jan-21",26.35,27.75,24.81,25.45,17899210,0.99065
"13-Jan-21",26.66,28.3999,25.7,25.82,15287020,0.737422
"14-Jan-21",26.44,26.48,25.11,25.26,6821458,0.715381
"15-Jan-21",25.21,25.87,23.88,24.23,6818957,0.689096,6589012
"18-Jan-21",,,,,,0.689096
"19-Jan-21",24.74,24.98,23.3,24.23,5333825,0.716573
"20-Jan-21",24.3,24.69,23.2,23.27,5626396,0.747242
"21-Jan-21",23.387,24.22,22.65,24.01,5845727,0.728991
"22-Jan-21",23.31,24.94,23.07,23.66,4989343,0.855266
"25-Jan-21",23.85,24.63,22.5,23.21,7948017,0.837091
"26-Jan-21",25.087,27.93,24.61,26.45,22329960,0.948905
"27-Jan-21",25.94,30.74,25.4,26.06,16736060,0.996431
"28-Jan-21",26.85,27.33,23.93,25.32,7263956,0.839093
"29-Jan-21",25.64,26.98,24.54,25.18,6242652,0.657503,5220491
"01-Feb-21",25.41,25.87,24.67,25.5,4588283,0.782951
"02-Feb-21",26.25,26.26,24.12,24.76,5734449,0.740513
"03-Feb-21",25.05,27.65,24.58,27.25,9148172,0.689058
"04-Feb-21",27.75,28.45,26.6,27.41,6238542,0.742729
"05-Feb-21",28.2,28.37,26.2,26.77,5550550,0.700488
"08-Feb-21",27.06,27.88,26.53,27.4,4347793,0.657118
"09-Feb-21",27.42,27.73,26.35,27.63,4844559,0.67217
"10-Feb-21",27.77,30.86,27.35,29.51,15206300,0.682304
"11-Feb-21",29.5,31.5678,28.6701,30.75,10814920,0.681321
"12-Feb-21",28.16,28.6899,26.5,26.91,14605710,0.733437,5601839
"15-Feb-21",,,,,,0.717328
"16-Feb-21",26.997,27.4,24.71,25.11,9730819,0.705267
"17-Feb-21",25.48,25.5,23.63,24.74,6711926,0.944526
"18-Feb-21",24.554,25.2,24.05,24.55,5329368,0.991426
"19-Feb-21",24.59,25.68,24.2302,24.76,5584460,1.068749
"22-Feb-21",24.24,24.96,22.5,22.74,5764180,1.077704
"23-Feb-21",21.44,21.45,18.6056,19.69,17230480,1.045503
"24-Feb-21",20,21.39,19.25,21.18,7803944,1.044837
"25-Feb-21",20.61,21.65,19.02,19.74,7470763,1.106638
"26-Feb-21",19.5417,19.9899,18.35,19.34,6120464,1.072561,8634561
"01-Mar-21",20.47,20.59,19.54,20.16,3654436,1.068958
"02-Mar-21",21.39,21.9199,20.22,20.59,5447716,1.08803
"03-Mar-21",20.7,20.87,18.77,19.03,5010797,1.110075
"04-Mar-21",19,19.07,16.61,17.79,8129159,1.163287
"05-Mar-21",18.07,18.0878,14.9,16.77,10070120,1.232613
"08-Mar-21",16.671,18.04,16.11,16.26,6422893,1.136418
"09-Mar-21",17.09,17.75,16.6309,17.3,6374857,1.169899
"10-Mar-21",18.5,18.5,16.25,17,7046284,1.181322
"11-Mar-21",17.43,17.98,17,17.71,6573841,1.240766
"12-Mar-21",14,15.54,13.64,14.78,50813050,1.579694
"15-Mar-21",15.32,16.38,14.94,16.22,16470350,1.80297,12673999
"16-Mar-21",15.9,16.02,14.78,15.22,11620880,2.017668
"17-Mar-21",14.77,15.23,14.29,15.09,14137110,2.110342
"18-Mar-21",13.85,14.08,12.82,13.01,26689790,2.082435
"19-Mar-21",12.98,13.56,12.6,13.3,12562820,2.332246
"22-Mar-21",13.44,13.84,13.17,13.33,7298456,2.566128
"23-Mar-21",13.3,13.4741,12.37,12.59,9079875,2.771879
"24-Mar-21",12.72,12.7486,11.33,11.38,11528670,2.864234
"25-Mar-21",11.025,12.38,10.89,12.3,10006500,2.816383
"26-Mar-21",12.48,12.48,11.45,11.87,6339101,2.712866
"29-Mar-21",11.86,11.87,11.04,11.34,7380689,2.674498
"30-Mar-21",11.23,11.6,10.8026,11.58,8607817,2.862492
"31-Mar-21",11.74,12.16,11.5,11.77,6157729,3.01784,21836062
"01-Apr-21",12.568,12.65,11.86,12.05,8028080
"02-Apr-21",,,,,,2.966777
"05-Apr-21",12.38,12.4234,11.27,11.57,7660372,3.112076
"06-Apr-21",11.51,12.55,11.32,12.195,7121961,3.296569
"07-Apr-21",12.16,12.63,11.71,11.74,5540283,3.566003
"08-Apr-21",12,12.49,11.79,12.32,5276802,3.651875
"09-Apr-21",12.17,12.209,11.55,11.72,5788390,3.712612
"12-Apr-21",11.63,11.6338,10.62,10.725,9759257,3.924834
"13-Apr-21",10.73,10.92,10.353,10.87,6986015,4.07644
"14-Apr-21",11.19,11.595,10.81,10.86,7158478,4.130358
"15-Apr-21",10.87,10.94,9.75,9.79,14000580,4.176726,26641515
"16-Apr-21",9.85,10.3,9.54,10.02,8183009,4.20431
"19-Apr-21",9.28,9.34,8.9,9.2,11767480,4.289055
"20-Apr-21",9.02,9.4,8.8,9.2,6237187,4.449672
"21-Apr-21",8.98,9.76,8.79,9.76,7934106,4.808884
"22-Apr-21",9.818,10.22,9.19,9.71,9172671,5.185745
"23-Apr-21",9.56,10.06,9.52,9.94,3468995,5.16256
"26-Apr-21",9.87,10.385,9.7,10.22,5774251,5.292261
"27-Apr-21",10.23,10.5,10,10.49,3695782,5.404205
"28-Apr-21",10.17,10.45,10.05,10.27,2576028,5.535511
"29-Apr-21",10.32,10.3859,9.93,10.21,3125428,5.658937
"30-Apr-21",10.013,10.32,9.88,9.91,2532705,5.581484,31300751
"03-May-21",9.93,9.98,9.19,9.22,4290712,5.573414
"04-May-21",8.96,9.15,8.61,8.84,5618598,5.750284
"05-May-21",8.917,8.96,8.53,8.64,3998175,5.740635
"06-May-21",8.56,8.6,7.87,8.06,6553905,5.753478
"07-May-21",8.078,8.51,7.84,7.99,7364724,5.7662
"10-May-21",7.99,8,7.34,7.37,7942386,5.726493
"11-May-21",6.92,7.78,6.69,7.76,8230546,5.81097
"12-May-21",7.51,7.76,7.15,7.21,4418064,5.896971
"13-May-21",7.314,7.385,6.7,6.98,6311730,5.988207
"14-May-21",7.07,7.4,6.86,7.33,7442508,5.957667,34244224
"17-May-21",7.27,8.95,7.1,8.4,13385674,5.935754
"18-May-21",8.49,10.95,8.46,10.09,34039170,5.702059
"19-May-21",9.83,11.65,9.61,11.45,42545580,5.466546
"20-May-21",10.38,10.74,9.52,9.7,21353220,5.390022
"21-May-21",9.3,10.3,9.15,9.58,12193200,5.448501
"24-May-21",9.6,9.9698,9.2,9.67,9498421,5.63059
"25-May-21",8.17,9.1,7.88,8.95,18351400,5.418594
"26-May-21",8.75,9.8,8.675,9.44,8175437,5.256084
"27-May-21",9.46,10.63,9.4,10.55,12247270,5.146507
"28-May-21",10.49,11.25,9.86,9.9,8433431,5.09949,34526492
"31-May-21",,,,,,5.09949
"01-Jun-21",9.85,10.65,9.85,10.33,4908117,5.042981
"02-Jun-21",10.436,12.37,10.31,12.37,14325070,4.952235
"03-Jun-21",12.86,14.73,12.58,13.15,21283800,4.875461
"04-Jun-21",13.06,13.4,12.36,12.52,7190360,4.637534
"07-Jun-21",12.38,13.89,12.36,13.4,9729370,4.524061
"08-Jun-21",13.64,15.8,10.26,11.22,39704210,4.259031
"09-Jun-21",10.12,12.87,8.8823,11.23,69057470,3.980784
"10-Jun-21",10.77,11.41,10.32,10.6,10361980,4.046112
"11-Jun-21",10.61,11.6,10.59,11.41,9530170,3.932994
"14-Jun-21",9.39,9.85,8.91,9.26,35089410,4.235635
"15-Jun-21",9.26,10.64,9.05,10.31,41562080,4.043289,25074481
"16-Jun-21",10.05,10.79,9.95,10.78,12670980,3.592174
"17-Jun-21",10.06,11.07,10.03,10.31,12767060,3.905325
"18-Jun-21",10.19,10.88,10.14,10.65,9261987,3.746207
"21-Jun-21",10.44,10.65,9.91,10.07,10748110,3.905034
"22-Jun-21",10.005,10.529,9.97,10.31,6433287,3.685753
"23-Jun-21",10.37,11.4299,10.317,11.18,8783170,3.798633
"24-Jun-21",11.35,11.67,10.86,10.98,8278187,3.983096
"25-Jun-21",11.12,11.2,10.73,11,22369400,4.043356
"28-Jun-21",10.9,11.875,10.87,11.79,6778964,4.094019
"29-Jun-21",11.53,11.65,11.14,11.33,5424507,4.346121
"30-Jun-21",11.21,11.45,11.035,11.06,3453651,4.422495,29926167
"01-Jul-21",11.131,11.19,10.19,10.35,5978418,4.625414
"02-Jul-21",10.34,10.46,8.56,9.23,15098090,4.58036
"06-Jul-21",9.342,9.68,9.25,9.31,3667313,4.763649
"07-Jul-21",9.24,9.3073,8.51,8.56,6791580,4.818909
"08-Jul-21",8.58,8.93,8.42,8.89,4434522,4.805853
"09-Jul-21",9.02,9.075,8.74,8.94,3549933,4.841084
"12-Jul-21",8.935,9,8.55,8.86,2621313,4.692755
"13-Jul-21",8.75,8.81,8.36,8.75,4147203,4.696958
"14-Jul-21",8.56,8.67,7.91,8.08,9396351,4.587555
"15-Jul-21",8.02,9.35,7.92,8.89,10894750,4.520781,31879877
"16-Jul-21",8.62,9.029,8.41,8.54,5697332,4.697789
"19-Jul-21",8.28,8.565,7.93,8.31,4463146,4.435975
"20-Jul-21",8.31,8.67,8.1,8.59,2566716,4.456635
"21-Jul-21",8.51,8.985,8.48,8.52,2722571,4.310863
"22-Jul-21",8.48,8.55,8.18,8.19,2511691,4.277585
"23-Jul-21",8.13,8.1599,7.43,7.48,7137717,4.104614
"26-Jul-21",7.302,8.04,7.24,7.29,15014580,4.50219
"27-Jul-21",7.4,7.4,6.55,6.59,12456380,4.275151
"28-Jul-21",6.78,6.78,6.55,6.56,10316290,4.096592
"29-Jul-21",6.6,6.63,6.17,6.2,12677150,3.813254
"30-Jul-21",6.07,6.55,6.06,6.24,8250559,3.750613,30865282
"02-Aug-21",6.28,6.66,6.11,6.37,6915105,3.474676
"03-Aug-21",6.31,6.3905,5.83,5.94,11153970,3.458162
"04-Aug-21",5.95,6.19,5.78,5.92,9518530,3.495519
"05-Aug-21",5.94,6.095,5.85,5.99,6601083,3.656738
"06-Aug-21",6,6.06,5.835,5.93,6653470,3.756219
"09-Aug-21",5.89,6.11,5.675,5.97,9578903,3.818699
"10-Aug-21",6.03,6.23,5.8,5.83,9048858,3.570419
"11-Aug-21",5.85,5.89,5.43,5.58,15896480,3.814164
"12-Aug-21",6.16,6.36,5.55,5.74,22290750,3.581692
"13-Aug-21",5.75,5.76,5.05,5.37,15466840,3.665136,35098361
"16-Aug-21",5.35,5.49,5.06,5.45,8265602,3.345903
"17-Aug-21",5.346,5.51,5.205,5.49,7844780,3.288228
"18-Aug-21",5.57,5.59,5.15,5.27,8031895,3.523267
"19-Aug-21",5.16,5.245,4.77,4.77,12360350,3.651943
"20-Aug-21",4.86,5.52,4.81,5.23,13542900,3.733447
"23-Aug-21",5.28,5.53,5.18,5.52,5644566,3.835214
"24-Aug-21",5.55,5.785,5.425,5.75,6499375,3.807221
"25-Aug-21",5.69,5.76,5.35,5.51,7355903,3.34833
"26-Aug-21",6.67,7.79,6.32,6.49,137676000,2.809314
"27-Aug-21",6.351,6.79,6.165,6.48,20047730,3.078982
"30-Aug-21",6.51,6.57,6.12,6.47,8376418,3.159611
"31-Aug-21",6.45,6.73,6.32,6.58,7326046,3.185253,31432225
"01-Sep-21",6.52,6.86,6.45,6.5,11623590,3.149094
"02-Sep-21",6.52,6.675,6.4601,6.54,5120367,3.121136
"03-Sep-21",6.507,6.53,6.14,6.25,6203848,3.084419
"06-Sep-21",,,,,,3.090976
"07-Sep-21",6.274,6.59,6.25,6.4,4780082,3.053161
"08-Sep-21",6.36,6.39,6.03,6.17,5150614,3.414178
"09-Sep-21",6.12,6.42,6.031,6.32,4272873,3.517759
"10-Sep-21",6.31,6.42,6.135,6.18,3309469,3.932842
"13-Sep-21",6.14,6.54,5.96,6.45,8211216,3.907711
"14-Sep-21",6.43,6.59,6.26,6.4,5369377,3.94165
"15-Sep-21",6.38,7.23,6.35,6.84,14557490,4.024037,30268140
"16-Sep-21",6.65,6.85,6.51,6.73,6674875,4.126218
"17-Sep-21",6.68,7.06,6.642,7.06,10020710,4.06737
"20-Sep-21",6.8,6.91,6.5,6.53,5377509,4.091444
"21-Sep-21",6.6,6.96,6.5716,6.87,5385552,3.983058
"22-Sep-21",6.8,6.91,6.66,6.84,4124168,3.96381
"23-Sep-21",6.88,7.515,6.861,7.43,9139637,3.898137
"24-Sep-21",7.31,7.995,7.2565,7.57,8856868,3.810929
"27-Sep-21",7.32,7.865,7.09,7.78,7485523,3.945068
"28-Sep-21",7.76,8.105,7.1,7.19,7772575,3.918945
"29-Sep-21",7.2,7.66,7.15,7.36,7546748,3.715177
"30-Sep-21",7.88,8.93,7.69,7.98,32464490,3.583568,27769902
"01-Oct-21",8.79,8.81,6.46,6.53,35672450,3.505329
"04-Oct-21",6.44,6.54,5.835,5.85,14736460,3.54839
"05-Oct-21",5.42,5.621,5.1,5.2,25859180,3.956663
"06-Oct-21",4.99,5.18,4.96,5.07,8902697,4.157205
"07-Oct-21",5.16,5.34,4.9612,5.04,8150768,3.977382
"08-Oct-21",5.1,5.1146,4.83,4.89,8420322,3.793405
"11-Oct-21",4.89,4.959,4.76,4.78,6556051,3.731779
"12-Oct-21",4.81,5.22,4.76,5.12,7552417,3.833916
"13-Oct-21",5.22,5.3,5.07,5.23,5237204,3.906736
"14-Oct-21",5.25,5.34,5.09,5.14,4932602,3.813528
"15-Oct-21",5.15,5.215,4.96,5.01,5460060,3.80859,29913051
"18-Oct-21",5.002,5.03,4.82,4.91,6516676,3.798135
"19-Oct-21",4.969,5.12,4.86,5.07,6050051,3.788589
"20-Oct-21",5.03,5.1,4.95,5.07,4672972,3.904619
"21-Oct-21",5.02,5.2889,4.995,5.07,4966207,3.95277
"22-Oct-21",5.01,5.0324,4.64,4.78,12471550,3.826444
"25-Oct-21",4.79,5.065,4.7301,5.02,7221937,3.753111
"26-Oct-21",5.02,5.4,4.97,5.01,9210758,4.055364
"27-Oct-21",5.01,5.11,4.78,4.8,4535015,3.969451
"28-Oct-21",4.836,5.325,4.82,5.16,9420181,3.978938
"29-Oct-21",5.0704,5.3389,5.05,5.17,4803472,3.99043
"16-Nov-21",,,,,,,,,0
