"Date","open PROG Price in USD","high PROG Price in USD","low PROG Price in USD","close PROG Price in USD","PROG Volume","Days to cover 3m (on loan)","Exchange Reported SI","Dividends","hidden"
"19-Jun-20",15.11,15.92,12.65,13.12,3023188
"22-Jun-20",13.89,13.95,11.76,11.97,580111
"23-Jun-20",11.96,12.374,10.6,11.3,556572
"24-Jun-20",11.36,11.786,11.03,11.52,313506
"25-Jun-20",11.5,11.5,10.25,10.5,369697
"26-Jun-20",10.51,10.6,9.54,9.98,209071
"29-Jun-20",9.83,10.18,9.16,9.75,192580
"30-Jun-20",9.6,9.81,8.81,9,259100,,485325
"01-Jul-20",9.07,9.07,7.63,7.98,827457
"02-Jul-20",8.39,9,7.9,8.8,390696
"06-Jul-20",8.75,8.99,8.6101,8.73,271859
"07-Jul-20",8.51,9.79,8.51,9.42,302159
"08-Jul-20",9.63,10.4201,9.18,10.05,243889
"09-Jul-20",10.02,10.02,8.99,9.25,123117
"10-Jul-20",9.19,9.63,8.8401,9.53,51477
"13-Jul-20",9.6,9.61,8.72,8.74,83934
"14-Jul-20",8.5,9.5365,8.07,9.29,103091
"15-Jul-20",9.45,10.5,9.15,10.2,269161,,398596
"16-Jul-20",10.18,10.9,9.71,10.79,145616
"17-Jul-20",10.98,10.9999,10.27,10.71,84086,0.491169
"20-Jul-20",10.61,10.61,10.07,10.29,44586,0.500571
"21-Jul-20",10.13,10.52,8.86,9.05,200171,0.506413
"22-Jul-20",9.06,9.48,8.59,9.04,91229,0.52285
"23-Jul-20",8.81,9.305,8.8,9.01,126080,0.538904
"24-Jul-20",9.26,9.28,8.9,8.94,48919
"27-Jul-20",9.02,9.02,8.65,8.7,44098,0.564685
"28-Jul-20",8.58,8.84,8.3601,8.52,63187,0.5793
"29-Jul-20",8.46,8.6203,8.16,8.29,58319,0.597205
"30-Jul-20",8.64,8.8491,8.4006,8.77,27196,0.616368
"31-Jul-20",8.53,9.11,8.45,9.11,75665,0.628444,382459
"03-Aug-20",9.23,9.23,8.8,9.08,29800,0.375988
"04-Aug-20",9.03,9.24,8.93,9.09,32746,0.375661
"05-Aug-20",9.05,9.09,8.69,8.74,49059,0.385001
"06-Aug-20",8.62,9.14,8.62,9,28621,0.395449
"07-Aug-20",8.99,9.0975,8.64,9.09,17655,0.406311
"10-Aug-20",8.89,9.1399,8.89,9.1,41886,0.41682
"11-Aug-20",9.02,9.07,8.8,8.96,24126,0.426513
"12-Aug-20",9,9.31,8.8301,9.13,35245,0.436403
"13-Aug-20",9.04,9.375,8.85,8.95,40721,0.445964
"14-Aug-20",8.31,8.5,7.71,7.71,101745,0.452542,385713
"17-Aug-20",7.88,9.54,7.85,9.54,131410,0.460958
"18-Aug-20",9.44,10.27,8.95,9.56,152418,0.478528
"19-Aug-20",9.56,9.675,8.8,8.85,72641,0.520059
"20-Aug-20",8.85,9.55,8.52,9.55,44346,0.484861
"21-Aug-20",9.73,9.75,8.9301,9.07,28519,0.388832
"24-Aug-20",9.7,9.71,8.67,9.15,31730,0.277123
"25-Aug-20",9.03,9.195,8.66,8.78,22826,0.249818
"26-Aug-20",8.78,9.03,8.78,8.98,18030,0.425572
"27-Aug-20",8.98,9.24,8.8,8.9,14025,0.424615
"28-Aug-20",8.79,9.45,8.79,9.1,50950,0.431107
"31-Aug-20",8.85,9.25,8.82,9.23,36121,0.20331,384087
"01-Sep-20",9.22,9.22,8.51,9.05,33258,0.836158
"02-Sep-20",8.755,9,8.51,8.99,35997,0.301345
"03-Sep-20",8.92,8.98,8.11,8.29,75268,0.304794
"04-Sep-20",8.33,8.98,8.1,8.9,66713,0.308446
"07-Sep-20",,,,,,0.308446
"08-Sep-20",9.28,9.62,8.36,8.99,93800,0.311245
"09-Sep-20",8.98,9.665,8.98,9.6,69994,0.314703
"10-Sep-20",9.4,9.4,8.52,8.64,36026,0.215677
"11-Sep-20",8.68,9.21,8.58,8.92,68061,0.217995
"14-Sep-20",8.99,9.53,8.41,9.45,224477,0.234202
"15-Sep-20",9.53,9.75,9.041,9.16,246779,0.244881,354183
"16-Sep-20",9.3,9.66,9.17,9.21,41696,0.671785
"17-Sep-20",9.08,9.53,9.01,9.19,76182,0.702073
"18-Sep-20",9.24,9.4,8.43,8.48,498346,0.696041
"21-Sep-20",8.45,9.3,8.05,8.31,48054,0.815326
"22-Sep-20",8.45,8.56,8.22,8.3,27681,2.382605
"23-Sep-20",8.25,8.97,8.12,8.71,151275,2.089381
"24-Sep-20",8.92,8.92,8.25,8.53,88165,1.778256
"25-Sep-20",8.75,8.81,8.5301,8.75,55615,1.926607
"28-Sep-20",8.82,9.1,8.63,8.85,76082,2.108318
"29-Sep-20",8.85,9,8.6301,8.87,35232,2.1027
"30-Sep-20",8.91,9.07,8.67,9.02,57103,2.059174,523338
"01-Oct-20",9.02,9.5,9.02,9.35,63673,2.135957
"02-Oct-20",9.09,9.3,8.76,9.29,49082,2.416204
