"Date","open PROG Price in USD","high PROG Price in USD","low PROG Price in USD","close PROG Price in USD","PROG Volume","Days to cover 3m (on loan)","Exchange Reported SI","Dividends","hidden"
"19-Jun-20",15.11,15.92,12.65,13.12,3023188
"22-Jun-20",13.89,13.95,11.76,11.97,580111
"23-Jun-20",11.96,12.374,10.6,11.3,556572
"24-Jun-20",11.36,11.786,11.03,11.52,313506
"25-Jun-20",11.5,11.5,10.25,10.5,369697
"26-Jun-20",10.51,10.6,9.54,9.98,209071
"29-Jun-20",9.83,10.18,9.16,9.75,192580
"30-Jun-20",9.6,9.81,8.81,9,259100,,485325
"01-Jul-20",9.07,9.07,7.63,7.98,827457
"02-Jul-20",8.39,9,7.9,8.8,390696
"06-Jul-20",8.75,8.99,8.6101,8.73,271859
"07-Jul-20",8.51,9.79,8.51,9.42,302159
"08-Jul-20",9.63,10.4201,9.18,10.05,243889
"09-Jul-20",10.02,10.02,8.99,9.25,123117
"10-Jul-20",9.19,9.63,8.8401,9.53,51477
"13-Jul-20",9.6,9.61,8.72,8.74,83934
"14-Jul-20",8.5,9.5365,8.07,9.29,103091
"15-Jul-20",9.45,10.5,9.15,10.2,269161,,398596
"16-Jul-20",10.18,10.9,9.71,10.79,145616
"05-Oct-20",9.37,9.37,8.8242,9.1,26704,2.632928
"06-Oct-20",9.29,9.29,9.04,9.09,24883,2.66527
"07-Oct-20",9.1,9.56,9.01,9.22,27739,2.768191
"08-Oct-20",9.28,9.54,9.28,9.48,43897,2.869545
"09-Oct-20",9.455,9.51,9.13,9.26,15961,2.995039
"12-Oct-20",9.26,9.3217,9,9.13,22935,3.041876
"13-Oct-20",9.17,9.17,8.74,9.14,50647,3.059438
"14-Oct-20",9.33,9.48,8.9,8.98,18966,3.081416
"15-Oct-20",8.84,9.15,8.84,9,12650,3.138776,506385
"16-Oct-20",8.97,9.41,8.84,9.03,19658,3.302655
"19-Oct-20",9.14,9.165,8.83,8.96,11148,3.417258
"20-Oct-20",8.9,9.16,8.13,8.13,73443,3.383995
"21-Oct-20",8.26,8.5657,7.92,7.99,57416,3.374015
"22-Oct-20",7.95,8.18,7.8,7.8,20572,3.440009
"23-Oct-20",8.01,8.24,7.85,7.91,14754,3.428498
"26-Oct-20",7.96,8.035,7.84,7.95,14274,3.497563
"27-Oct-20",8.12,8.2,7.905,7.91,24648,3.52603
"28-Oct-20",7.87,7.93,7.6,7.69,73212,3.508627
"29-Oct-20",7.72,7.72,5.92,5.96,468594,3.185801
"30-Oct-20",6.05,6.05,4.99,4.99,199045,3.342671,281824
"02-Nov-20",5.18,5.18,4.24,4.27,202701,3.502441
"03-Nov-20",4.52,4.6944,4.26,4.3,72747,3.035854
"04-Nov-20",4.31,4.53,4,4.32,132336,3.254636
"05-Nov-20",4.26,5.14,4.22,5.1,120296,3.16163
"06-Nov-20",5.35,5.35,4.73,4.88,84764,3.124124
"09-Nov-20",5.1,5.25,4.58,4.87,115003,2.995735
"10-Nov-20",4.88,5.19,4.56,4.6,147761,2.853746
"11-Nov-20",4.6,4.89,4.6,4.72,141878,2.799518
"12-Nov-20",4.79,4.895,4.3,4.39,67589,2.822631
"13-Nov-20",4.49,4.84,4.39,4.47,130654,2.513687,183604
"16-Nov-20",4.65,4.76,4.32,4.39,76103,2.670476
"17-Nov-20",4.46,4.5343,4.18,4.21,104016,2.959225
"18-Nov-20",4.21,4.42,4.01,4.16,135139,1.090833
"19-Nov-20",4.11,4.24,3.97,4,158436,0.9055
"20-Nov-20",4.03,4.1067,3.86,3.92,267632,0.972224
"23-Nov-20",4.01,4.0293,3.64,3.64,438654,0.713158
"24-Nov-20",3.8,4.2,3.66,3.9,452349,0.729615
"25-Nov-20",4.031,4.15,3.84,3.91,293186,0.804323
"26-Nov-20",,,,,,0.794835
"27-Nov-20",3.95,4,3.79,3.9,170023,3.497515
"30-Nov-20",3.98,4.15,3.91,4.01,359866,3.51872,251257
"01-Dec-20",3.679,3.85,3.57,3.63,1070810,5.463962
"02-Dec-20",3.67,3.68,3.27,3.285,709475,5.597237
"03-Dec-20",3.18,3.31,3.08,3.265,2940608,4.920479
"04-Dec-20",3.3,3.35,3.18,3.27,961184,4.917407
"07-Dec-20",3.5,3.71,3.37,3.5,1613210,4.245957
"08-Dec-20",3.78,3.89,3.3,3.42,1050636,5.72698
"09-Dec-20",3.56,3.56,3.34,3.47,1114239,3.335862
"10-Dec-20",3.742,4.01,3.56,3.97,3080014,3.590988
"11-Dec-20",4.2,4.88,4.07,4.73,4063961,2.970311
"14-Dec-20",5,5.0628,4.02,4.13,2199244,4.447204
"15-Dec-20",4.2,4.34,3.91,4.16,941500,5.222526,2062137
"16-Dec-20",4.33,4.79,4.1,4.65,1737378,4.60013
"17-Dec-20",5,5.67,4.94,5.44,2573096
"18-Dec-20",5.54,6.42,5.5,6.32,3443685,3.993427
"21-Dec-20",6.28,6.92,5.21,6.85,2014384,3.871163
"22-Dec-20",6.8,7.55,6.5,6.68,2008397,3.79379
"23-Dec-20",6.8,6.9411,6.29,6.74,1070856,3.679997
"24-Dec-20",6.66,6.75,5.8,6,807887,3.419637
"25-Dec-20",,,,,,3.374709
"28-Dec-20",6.09,6.4,5.26,5.35,1194212,3.57211
"29-Dec-20",5.41,5.4489,4.7,4.77,1234182,3.634517
"30-Dec-20",4.78,5.5,4.67,5.25,898012,3.723808
"31-Dec-20",5.17,5.38,4.95,5.31,418183,3.860108,2223018
"01-Jan-21",,,,,,3.981587
"04-Jan-21",5.51,5.6308,4.76,5.22,784956,3.86382
"05-Jan-21",5.27,6.225,5,5.99,2018946,3.928516
"06-Jan-21",6.19,6.35,5.61,5.84,894155,4.05065
"07-Jan-21",6.1,6.47,5.98,6.1,746841,4.150576
"08-Jan-21",6.05,6.38,5.855,6.28,378326,4.365723
"11-Jan-21",6.2,6.74,6.2,6.28,416683,4.271656
"12-Jan-21",6.33,6.3516,5.9,6.04,525521,4.270455
"13-Jan-21",6.01,6.1,5.63,5.76,494437,4.017254
"14-Jan-21",5.96,5.983,5.32,5.4,840217,3.93809
"15-Jan-21",5.43,5.7,5.2199,5.42,532879,3.94052,2758887
"18-Jan-21",,,,,,3.819873
"19-Jan-21",5.52,6.35,5.518,6.32,907695,3.834624
"20-Jan-21",6.36,6.78,6.05,6.11,536620,3.87859
"21-Jan-21",6.24,6.3343,5.97,6.22,458777,4.523442
"22-Jan-21",6.08,6.26,5.95,6.2,431108,3.941839
"25-Jan-21",6.34,6.48,6.1,6.38,482485,3.841416
"26-Jan-21",6.41,7.4698,6.22,7.27,1769515,3.775747
"27-Jan-21",7.21,7.86,7.15,7.26,803452,3.88859
"28-Jan-21",7.26,7.44,6.42,7.31,713545,3.483992
"29-Jan-21",7.22,7.26,6.75,6.88,268838,3.53821,2830815
"01-Feb-21",6.86,7.22,6.8501,7,218497,3.479768
"02-Feb-21",7.05,7.25,6.75,7.08,262884,3.493509
"03-Feb-21",7.1,7.1646,6.3,6.4,785041,3.550671
"04-Feb-21",6.55,6.6784,6.22,6.25,410436,3.806645
"05-Feb-21",6.35,6.4386,6.01,6.21,479599,3.476842
"08-Feb-21",6.01,6.13,5.65,5.79,1480781,3.542121
"09-Feb-21",5.85,6.23,5.58,6.12,784368,3.517907
"10-Feb-21",6.25,6.3323,5.8,5.98,454825,3.636108
"11-Feb-21",6.03,6.149,5.58,5.62,441438,3.635117
"12-Feb-21",5.77,5.87,5.52,5.6,374629,3.57748,2925659
"15-Feb-21",,,,,,3.475492
"16-Feb-21",5.65,5.79,5.54,5.66,352617,3.66867
"17-Feb-21",5.67,5.8452,5.6,5.7,353485,3.641549
"18-Feb-21",5.69,5.76,5.32,5.34,382530,3.674094
"19-Feb-21",5.38,5.75,5.36,5.59,276885,3.679059
"22-Feb-21",5.6,6.18,5.5,6.05,584867,3.606011
"23-Feb-21",5.82,5.9646,5.25,5.56,576622,3.65491
"24-Feb-21",5.75,5.99,5.52,5.87,276828,3.664618
"25-Feb-21",5.89,5.91,5.27,5.57,501091,3.638072
"26-Feb-21",5.41,5.61,5.4,5.47,319879,3.624593,2988787
"01-Mar-21",5.46,5.8,5.46,5.49,314814,3.607752
"02-Mar-21",5.56,5.64,5.33,5.34,261185,3.674586
"03-Mar-21",5.41,5.41,4.73,4.77,948847,3.667577
"04-Mar-21",4.8,4.9399,3.91,4.05,790867,3.931439
"05-Mar-21",4.1,4.135,3.6,3.99,529513,4.025455
"08-Mar-21",4.06,4.18,3.91,3.91,237221,4.137806
"09-Mar-21",3.97,4.27,3.95,4.2,350231,4.22118
"10-Mar-21",4.26,4.46,4.11,4.15,503227,4.435099
"11-Mar-21",4.25,4.48,4.15,4.41,347271,4.655202
"12-Mar-21",4.3,4.87,4.25,4.84,343545,4.930915
"15-Mar-21",4.864,5.11,4.65,4.73,440092,5.10145,3049129
"16-Mar-21",4.75,4.9,4.56,4.86,301614,5.201523
"17-Mar-21",4.71,5,4.6848,4.98,252819,5.418806
"18-Mar-21",4.94,4.9799,4.28,4.39,512852,5.634243
"19-Mar-21",4.45,4.98,4.25,4.82,1721400,5.935751
"22-Mar-21",4.92,4.99,4.69,4.9,194455,6.201528
"23-Mar-21",4.87,4.89,4.56,4.68,141455,6.922377
"24-Mar-21",4.75,4.75,4.1,4.12,319073,7.392164
"25-Mar-21",4.18,4.36,4.02,4.13,315733,7.549109
"26-Mar-21",4.18,4.59,4.18,4.43,256287,7.890815
"29-Mar-21",4.33,4.79,4.3,4.7,335488,8.129534
"30-Mar-21",4.59,4.68,4.3,4.62,270325,8.306908
"31-Mar-21",4.71,4.88,4.55,4.76,214710,8.47925,3112893
"01-Apr-21",4.8,5.09,4.7,4.92,293021
"02-Apr-21",,,,,,8.289252
"05-Apr-21",4.94,5.13,4.901,4.935,445301,8.527064
"06-Apr-21",4.97,5.03,4.44,4.58,243364,9.173652
"07-Apr-21",4.61,4.65,4.21,4.24,285979,9.288426
"08-Apr-21",4.32,4.33,3.97,4.06,330152,9.631903
"09-Apr-21",4.1,4.1,3.84,3.87,332589,9.368652
"12-Apr-21",3.91,4,3.72,3.75,738487,9.089142
"13-Apr-21",3.74,3.75,3.45,3.52,331687,10.072882
"14-Apr-21",3.55,3.78,3.45,3.5,424663,8.154258
"15-Apr-21",3.49,3.54,3.31,3.41,320636,8.154359,3010129
"16-Apr-21",3.45,3.5,3.2258,3.37,353931,7.84887
"19-Apr-21",3.39,3.39,3.03,3.18,342703,6.632365
"20-Apr-21",3.12,3.26,2.99,3.01,294041,7.000914
"21-Apr-21",3.01,3.165,2.93,2.99,445279,7.002367
"22-Apr-21",3.1,3.18,2.98,3.02,388857,6.697576
"23-Apr-21",3.03,3.09,2.98,3.04,370067,6.526149
"26-Apr-21",3.06,3.16,2.94,3.14,491494,6.394072
"27-Apr-21",3.14,3.25,3.02,3.15,362033,7.03004
"28-Apr-21",3.16,3.19,3,3.02,277012,6.439191
"29-Apr-21",3.06,3.1,3,3.05,404614,6.940178
"30-Apr-21",3.06,3.17,3.06,3.16,326604,5.416043,3150730
"03-May-21",3.19,3.55,3.19,3.38,623055,5.428606
"04-May-21",3.33,3.35,3.0282,3.13,410587,5.432265
"05-May-21",3.1301,3.2042,3.05,3.09,286723,5.62633
"06-May-21",3.05,3.05,2.75,2.86,745963,5.848301
"07-May-21",2.87,2.97,2.69,2.72,389710,6.549624
"10-May-21",2.75,2.77,2.34,2.35,1101306,7.445374
"11-May-21",2.33,2.6,2.2,2.5,574140,6.193853
"12-May-21",2.48,2.67,2.38,2.39,430149,6.480707
"13-May-21",2.44,2.44,2.27,2.35,492728,4.913589
"14-May-21",2.45,2.56,2.28,2.36,638019,6.601557,2816302
"17-May-21",2.37,2.42,2.2,2.26,518109,6.575219
"18-May-21",2.27,2.35,2.19,2.2,834222,5.028796
"19-May-21",2.2,2.25,2.11,2.24,1262979,5.245765
"20-May-21",2.3,2.82,2.3,2.65,1987089,5.640298
"21-May-21",2.7,2.78,2.41,2.45,651261,7.002466
"24-May-21",2.49,2.5,2.27,2.49,518028,6.472982
"25-May-21",2.48,2.56,2.39,2.42,254689,6.983324
"26-May-21",2.4,2.5,2.36,2.47,348896,7.177875
"27-May-21",2.47,2.66,2.4096,2.65,345182,7.272191
"28-May-21",2.66,2.75,2.483,2.59,370450,7.32535,3019119
"31-May-21",,,,,,7.32535
"01-Jun-21",2.69,2.86,2.61,2.86,546880,5.623689
"02-Jun-21",2.6,2.64,2.15,2.19,3452741,5.347767
"03-Jun-21",2.19,2.2,2.04,2.11,4263370,4.374409
"04-Jun-21",2.376,2.45,2.09,2.2,5934771,5.063794
"07-Jun-21",2.21,2.38,2.2,2.37,4113795,6.907322
"08-Jun-21",2.37,2.42,2.28,2.36,2119189,6.203394
"09-Jun-21",2.46,2.8,2.36,2.68,4417817,6.455646
"10-Jun-21",2.44,2.52,2.37,2.49,4083164,7.475304
"11-Jun-21",2.61,3.4,2.6,3.21,22656950,5.631003
"14-Jun-21",3.2435,3.6899,3.02,3.17,10903790,5.053995
"15-Jun-21",3.23,3.28,2.905,3.14,3215075,5.272518,4148131
"16-Jun-21",3.05,3.14,2.92,3.14,1988479,5.445215
"17-Jun-21",3.07,3.23,3.01,3.08,995424,6.086778
"18-Jun-21",3.05,3.05,2.93,3.01,1273381,6.19627
"21-Jun-21",3.01,3.25,2.81,3.25,2462505,5.918717
"22-Jun-21",3.329,3.38,3.11,3.25,1394702,6.002117
"23-Jun-21",3.2,3.4,3.11,3.37,1825518,5.845634
"24-Jun-21",3.409,3.74,3.27,3.55,5196398,5.306858
"25-Jun-21",3.65,3.95,3.47,3.95,5695107,5.070423
"28-Jun-21",3.86,3.9,3.65,3.74,1771099,5.00907
"29-Jun-21",3.75,3.8,3.42,3.56,1740783,4.960067
"30-Jun-21",3.43,3.68,3.41,3.57,931540,4.557045,4134949
"01-Jul-21",3.55,3.57,3.32,3.41,1207950,4.229387
"02-Jul-21",3.43,3.44,3.2,3.39,2188177,4.059225
"06-Jul-21",3.38,3.38,3.13,3.2,1299003,4.051305
"07-Jul-21",3.215,3.3,2.91,3.09,1620248,4.048669
"08-Jul-21",3,3.06,2.93,2.96,1180647,4.073656
"09-Jul-21",3.01,3.2,2.96,3.03,2321228,4.072665
"12-Jul-21",3.08,3.13,2.96,3.01,1054821,4.171795
"13-Jul-21",3.01,3.07,2.85,2.88,1672731,4.051117
"14-Jul-21",2.85,2.9,2.6,2.63,1308194,4.019439
"15-Jul-21",2.64,2.6499,2.51,2.57,713847,3.953651,3641474
"16-Jul-21",2.62,2.62,2.375,2.42,5129606,3.901667
"19-Jul-21",2.37,2.6,2.34,2.57,2270539,3.608403
"20-Jul-21",2.54,2.63,2.39,2.39,3483873,2.97925
"21-Jul-21",2.4,2.68,2.4,2.55,1652122,2.685271
"22-Jul-21",2.49,2.66,2.46,2.58,1568241,2.725137
"23-Jul-21",2.58,2.64,2.44,2.5,919462,2.641913
"26-Jul-21",2.46,2.71,2.46,2.56,1018885,2.577938
"27-Jul-21",2.526,2.6,2.364,2.42,1482534,2.504548
"28-Jul-21",2.4,2.56,2.4,2.45,993450,2.650673
"29-Jul-21",2.48,2.58,2.18,2.21,3947919,2.432895
"30-Jul-21",2.28,2.34,2.19,2.25,1126763,2.536124,2574059
"02-Aug-21",2.2,2.205,1.98,2.1,3768365,2.366097
"03-Aug-21",2.05,2.06,1.96,1.97,1445799,2.428182
"04-Aug-21",1.97,1.99,1.87,1.88,2056116,2.370095
"05-Aug-21",1.89,1.9799,1.81,1.95,2056284,2.453863
"06-Aug-21",1.92,1.9539,1.88,1.94,890605,2.490098
"09-Aug-21",1.95,1.98,1.84,1.88,1683302,2.433234
"10-Aug-21",1.8708,1.9091,1.75,1.83,2150567,2.453147
"11-Aug-21",1.85,1.85,1.77,1.81,828660,2.484098
"12-Aug-21",1.82,1.84,1.72,1.74,1454914,2.502495
"13-Aug-21",1.68,1.71,1.51,1.66,1788568,2.352702,3384646
"16-Aug-21",1.65,1.66,1.55,1.57,907781,2.297713
"17-Aug-21",1.52,1.75,1.5,1.68,1684697,2.357435
"18-Aug-21",1.67,1.7,1.6,1.6,522810,2.374054
"19-Aug-21",1.6,1.65,1.47,1.49,3138009,2.393465
"20-Aug-21",0.7052,0.7278,0.657,0.6739,46214870,1.71398
"23-Aug-21",0.6939,0.7575,0.6855,0.7572,20797560,1.655115
"24-Aug-21",0.74,0.84,0.72,0.8198,15695970,1.512728
"25-Aug-21",0.835,0.835,0.761,0.8094,9397382,1.372783
"26-Aug-21",0.7954,0.7977,0.7331,0.7668,7861243,0.990714
"27-Aug-21",0.7799,0.7799,0.745,0.7548,8150170,1.00859
"30-Aug-21",0.78,0.8634,0.755,0.8,18284030,0.986647
"31-Aug-21",0.8116,0.9138,0.795,0.8897,18656610,1.010538,3768151
"01-Sep-21",0.9294,1.07,0.91,0.9774,35183090,1.326565
"02-Sep-21",0.9843,1.0781,0.9265,1.05,16070880,1.766665
"03-Sep-21",1.06,1.25,1.05,1.11,26742620,1.653973
"06-Sep-21",,,,,,1.648989
"07-Sep-21",1.175,1.19,1.06,1.07,12460980,1.738785
"08-Sep-21",1.051,1.09,0.9664,1.06,10618080,1.801768
"09-Sep-21",0.99,1.08,0.99,1.06,6586213,1.781787
"10-Sep-21",1.05,1.06,1.0085,1.02,4902092,1.804285
"13-Sep-21",0.9939,1.01,0.9315,0.9401,9055960,1.81038
"14-Sep-21",1.11,1.2,0.9902,1.02,54336740,1.418692
"15-Sep-21",1.01,1.03,0.955,0.9657,11654650,1.489668,8842977
"16-Sep-21",0.9652,1.09,0.941,1.03,16064020,1.640922
"17-Sep-21",1.039,1.05,1,1.01,6169288,1.578337
"20-Sep-21",0.9574,1.02,0.9361,0.9446,11294130,1.499484
"21-Sep-21",0.95,0.9689,0.9195,0.9208,6812491,1.628671
"22-Sep-21",0.93,0.932,0.8888,0.9048,6390372,1.579313
"23-Sep-21",0.9,0.9749,0.8888,0.9544,5388417,1.606932
"24-Sep-21",0.9609,0.9609,0.9,0.9,3993637,1.585328
"27-Sep-21",0.9096,0.928714,0.8655,0.9022,3826273,1.570051
"28-Sep-21",0.9077,0.91,0.8625,0.8868,5769091,1.598658
"29-Sep-21",0.8937,1.08,0.89,1.08,22054310,1.530684
"30-Sep-21",1.23,1.58,1.22,1.52,107105800,1.281317,10745045
"01-Oct-21",1.89,2.2,1.56,1.79,249225500,1.19414
"04-Oct-21",1.74,2.17,1.34,1.4,239319200,0.987287
"05-Oct-21",1.55,1.56,1.21,1.36,99337370,1.233159
"06-Oct-21",1.42,1.53,1.39,1.43,56122010,1.450534
"07-Oct-21",1.5,1.52,1.33,1.4,48211590,1.443659
"08-Oct-21",1.36,1.39,1.28,1.35,47681380,1.408179
"11-Oct-21",1.37,2.15,1.36,2.14,204604600,1.20393
"12-Oct-21",2.1,2.7,1.94,2.22,346180600,0.977194
"13-Oct-21",2.43,2.49,1.99,2.04,161048500,0.811371
"14-Oct-21",2.13,2.35,2.05,2.09,93034190,0.959955
"15-Oct-21",2.12,2.27,2.06,2.14,71829450,0.987286,22892063
"18-Oct-21",2.31,3.08,2.25,2.99,352090800,0.851853
"19-Oct-21",3.22,3.55,2.76,3,272890600,0.797922
"20-Oct-21",2.84,2.92,2.66,2.72,72220970,0.767899
"21-Oct-21",2.738,2.84,2.3,2.5,68050530,0.772606
"22-Oct-21",2.34,3.33,2.23,2.96,188360600,0.723548
"25-Oct-21",3.05,3.48,2.97,3.38,139662900,0.688356
"26-Oct-21",4,4.35,3.31,3.99,253896100,0.652855
"27-Oct-21",3.85,4.43,3.61,3.75,120932200,0.632019
"28-Oct-21",3.68,3.97,3.34,3.87,59771040,0.652384
"29-Oct-21",3.77,3.92,3.465,3.6,34092530
"16-Nov-21",,,,,,,,,0
