"Date","open TTCF Price in USD","high TTCF Price in USD","low TTCF Price in USD","close TTCF Price in USD","TTCF Volume","Days to cover 3m (on loan)","Exchange Reported SI","Dividends","hidden"
"15-Oct-19",,,,,,,208969
"31-Oct-19",,,,,,,158269
"15-Nov-19",,,,,,,153121
"29-Nov-19",,,,,,,153121
"13-Dec-19",,,,,,,153320
"31-Dec-19",,,,,,,153121
"15-Jan-20",,,,,,,153121
"31-Jan-20",,,,,,,151957
"14-Feb-20",,,,,,,151739
"28-Feb-20",,,,,,,150983
"13-Mar-20",,,,,,,151979
"31-Mar-20",,,,,,,424745
"15-Apr-20",,,,,,,416722
"30-Apr-20",,,,,,,412781
"15-May-20",,,,,,,473327
"29-May-20",,,,,,,851470
"15-Jun-20",,,,,,,367357
"30-Jun-20",,,,,,,474114
"15-Jul-20",,,,,,,442253
"31-Jul-20",,,,,,,642428
"14-Aug-20",,,,,,,471431
"31-Aug-20",,,,,,,729364
"15-Sep-20",,,,,,,811142
"30-Sep-20",,,,,,,656582
"15-Oct-20",,,,,,,935965
"16-Oct-20",24.08,27.2,23,25.13,1786595
"19-Oct-20",25.67,26.5,23.34,23.39,1625444
"20-Oct-20",23.36,23.49,19.81,21.66,3571048
"21-Oct-20",21.75,22,19.5,20.46,1792917
"22-Oct-20",19.73,20.365,17.9,19.55,3123649
"23-Oct-20",19.66,20,18.82,19.22,1016475,0.836391
"26-Oct-20",18.7,19.19,16.25,17.11,3136362,0.759461
"27-Oct-20",16.76,19.89,16.75,19.01,2436987,0.624451
"28-Oct-20",18,19,17.63,17.65,1125675,0.538122
"29-Oct-20",17.84,18.4399,17.33,17.52,971195,0.578303
"30-Oct-20",17.31,17.6593,16.76,17.15,853472,0.635592,1470849
"02-Nov-20",17.6,17.9,16.55,16.55,869244,0.785178
"03-Nov-20",16.98,17.58,16.66,16.75,913097,0.865757
"04-Nov-20",17.18,18.5761,16.83,18,1073001,0.793376
"05-Nov-20",18.64,19.41,18.2501,19.12,960250,0.757976
"06-Nov-20",19.24,19.68,18.61,19.6,985991,0.914219
"09-Nov-20",20.9,20.9499,19.055,20.06,1540469,0.996319
"10-Nov-20",19.1285,19.4899,17.28,17.29,2551810,1.033829
"11-Nov-20",17.69,17.9304,16.91,17.64,960682,1.057763
"12-Nov-20",17.49,17.96,17.2,17.49,738443,1.113067
"13-Nov-20",17.43,17.5,16.72,17.06,1180674,0.945411,2682493
"16-Nov-20",17.2,17.2,16.4,16.63,1139056,0.924544
"17-Nov-20",17.22,17.65,16.85,17.01,1562317,0.935348
"18-Nov-20",17.1,17.4,16.71,16.83,1179488,1.001852
"19-Nov-20",16.05,16.27,15.12,15.7,5154348,1.099087
"20-Nov-20",15.85,16.17,15.3501,15.79,2185492,1.264009
"23-Nov-20",16,17.4,15.04,17.35,4439387,1.451165
"24-Nov-20",17.1,17.1,15.55,15.81,2839761,1.695047
"25-Nov-20",15.7,16.05,15.35,15.94,1485869,1.81117
"26-Nov-20",,,,,,1.843005
"27-Nov-20",15.85,16,15.6338,15.83,1072498,1.818439
"30-Nov-20",15.65,15.7,15.01,15.24,1825661,1.809226,3768089
"01-Dec-20",15.25,15.3665,14.093,14.94,2757206,1.7731
"02-Dec-20",14.65,15.59,14.4405,15.42,1557743,1.873534
"03-Dec-20",15.42,16.05,14.95,15.67,1692461,1.826616
"04-Dec-20",15.645,15.75,15.18,15.69,1019658,1.844512
"07-Dec-20",16.07,16.6,15.7,15.96,1531642,1.8994
"08-Dec-20",16.19,17.4799,16.1192,16.89,2509281,2.049625
"09-Dec-20",17.91,18.24,16.83,17.45,2846433,2.048205
"10-Dec-20",17.33,17.79,16.9,17.61,1095413,2.165061
"11-Dec-20",17.59,18.56,17.23,18.31,2626802,2.141466
"14-Dec-20",19.24,20.6496,18.67,20.45,5896421,2.082251
"15-Dec-20",20.9,21.39,19.21,19.35,6832310,2.082673,5037864
"16-Dec-20",19.45,19.595,18.4,19.25,3240502,2.123205
"17-Dec-20",19.48,20.31,19.33,20.26,3271141
"18-Dec-20",21.282,22.9,20.95,22.16,9516400,2.061263
"21-Dec-20",23.3,25.58,23.14,25.5,8997300,2.228786
"22-Dec-20",26.21,26.74,23.31,25.86,7103040,2.558282
"23-Dec-20",25.85,25.8893,24.59,24.69,2595267,2.693723
"24-Dec-20",25,25.84,24.665,24.96,1916843,2.496501
"25-Dec-20",,,,,,2.649109
"28-Dec-20",25.29,25.3,23.1,23.42,3183148,2.836762
"29-Dec-20",23.25,23.67,22.07,22.68,2601136,2.622535
"30-Dec-20",22.97,24.5,22.97,24.32,1790360,2.531783
"31-Dec-20",24.1,24.45,22.82,22.89,1958143,2.681988,7298221
"01-Jan-21",,,,,,2.658373
"04-Jan-21",23.92,24.28,22.9,23.53,2787688,2.479072
"05-Jan-21",23.71,24.18,23.42,23.6,1839746,2.580812
"06-Jan-21",23.8,24.83,23.01,23.45,2824841,2.596703
"07-Jan-21",24.32,24.49,23.6,23.91,2373232,2.212178
"08-Jan-21",23.88,23.94,23.27,23.75,2687624,2.078498
"11-Jan-21",23.54,24.72,23.4,23.94,3502859,1.989319
"12-Jan-21",23.99,25.75,23.8501,25.44,3642028,1.67599
"13-Jan-21",25.44,26.5688,25.13,25.56,2613906,1.399044
"14-Jan-21",26.07,27.8,26,26.81,4739514,1.319102
"15-Jan-21",26.85,26.9,25.16,25.28,2954311,1.370037,3853326
"18-Jan-21",,,,,,1.363269
