"Date","open CHPT Price in USD","high CHPT Price in USD","low CHPT Price in USD","close CHPT Price in USD","CHPT Volume","Days to cover 3m (on loan)","Exchange Reported SI","Dividends","hidden"
"01-Mar-21",32.3,33.35,28.56,30.11,5180373
"02-Mar-21",31.26,31.55,28,28.5,3122552
"03-Mar-21",29.82,30.97,28.01,28.33,3389169
"04-Mar-21",28,28.1,22.01,24.21,7762126
"05-Mar-21",24.89,26.55,19.5,26.13,6898950,2.252601
"08-Mar-21",28,29.15,25.12,25.68,4698727,2.310486
"09-Mar-21",27.84,30,26.81,28.48,7328979,2.172436
"10-Mar-21",30.08,30.54,27.75,28.63,4551405,2.215765
"11-Mar-21",29.67,31.53,28.72,30.43,5170318,2.169591
"12-Mar-21",26.41,28.45,25.84,27.84,10396750,1.991094
"15-Mar-21",27.55,27.55,25.2,25.91,9431899,1.900671,9516407
"16-Mar-21",25.94,26,23.86,24.7,8033382,1.754833
"17-Mar-21",23.72,24.65,23.028,24.01,5431178,1.762449
"18-Mar-21",24.49,25.1387,23.6,24,3955967,1.614988
"19-Mar-21",24.5,24.56,23.43,23.51,4797602,1.681218
"22-Mar-21",23.94,25,23.53,24.72,4107850,1.74856
"23-Mar-21",24.7,24.78,22.61,22.93,4560098,1.878809
"24-Mar-21",23.46,23.54,20.55,20.69,7505863,1.769151
"25-Mar-21",20,22.59,19.59,20.21,6446031,1.849813
"26-Mar-21",20.46,21.57,20.02,20.48,4371636,1.932936
"29-Mar-21",21.3,22.01,20.53,20.92,3819297,2.157918
"30-Mar-21",21.09,22.91,20.8,22.46,6840783,2.090741
"31-Mar-21",24.54,27.8,23.6,26.7,18385190,1.952575,8093413
"01-Apr-21",30,30.82,27.41,29.84,17753840
"02-Apr-21",,,,,,1.488489
"05-Apr-21",32.28,32.48,28,28.14,14103610,1.39446
"06-Apr-21",28.1,32.4699,27.21,31.09,15893350,1.105527
"07-Apr-21",30.5,30.82,28.07,28.53,9302550,1.070515
"08-Apr-21",29.01,29.8003,28.25,28.58,7015886,0.961184
"09-Apr-21",28.56,29.26,27.38,27.65,5482762,0.890171
"12-Apr-21",27.46,27.53,25.17,25.65,7459599,0.98663
"13-Apr-21",25,25.907,24.41,24.83,6015088,0.989735
"14-Apr-21",25.03,25.8,23.29,23.42,6186172,1.050377
"15-Apr-21",23.71,24.07,22.06,23.89,7309511,1.043637,6631944
"16-Apr-21",23.6,23.6,22.23,22.27,5889576,1.113098
"19-Apr-21",22.47,22.5308,20.9,21.62,7319170,1.147461
"20-Apr-21",21.11,21.765,19.71,20.2,10723820,1.452203
"21-Apr-21",20,21.5,19.04,21.39,12997140,1.576237
"22-Apr-21",22.56,23.25,21.295,22.07,12661070,1.711046
"23-Apr-21",22.8,24.55,22.5,24.38,8815698,1.829313
"26-Apr-21",25.16,26.49,24.51,26.43,8031760,1.936793
"27-Apr-21",27.1,27.1,24.57,25.15,9514562,1.942152
"28-Apr-21",24.14,26.74,23.84,26.33,9151449,1.979034
"29-Apr-21",26.77,26.82,24.53,24.98,7885750,1.988561
"30-Apr-21",24.37,26.12,24.25,25.32,5689929,2.000663,11738090
"03-May-21",25.21,25.46,23.4,23.58,5808572,2.040356
"04-May-21",23.06,23.48,21.68,23.12,6282251,2.065566
"05-May-21",23.13,23.92,22.97,23.12,3447446,2.128057
"06-May-21",22.65,23.19,21.95,22.5,3672204,2.16233
"07-May-21",22.88,23.44,22.4,22.63,3002575,2.230989
"10-May-21",22.88,22.88,21.21,21.34,3883717,2.305131
"11-May-21",20.03,22.3299,20,22.18,5094976,2.427475
"12-May-21",21.48,22.12,20.7,20.94,3416127,2.519184
"13-May-21",21.19,22,19.56,20.21,4896826,2.570533
"14-May-21",20.9,22.05,20.4,22.01,3297646,2.568584,12069276
"17-May-21",21.51,23.08,21.41,23.08,2537182,2.519524
"18-May-21",23.23,24.11,22.64,23.75,4178363,2.56767
"19-May-21",22.37,23.9299,22.25,23.8,2763646,2.574988
"20-May-21",23.63,24.54,23.58,24.34,2486884,2.612977
"21-May-21",24.35,24.89,23.41,23.68,3262274,2.601134
"24-May-21",23.7,24.065,23.05,23.4,2352748,2.581358
"25-May-21",23.37,23.66,22.77,23.01,2265753,2.672043
"26-May-21",23.11,25.47,23.02,25.05,5699718,2.692483
"27-May-21",25,25.33,24.3,25.33,3234051,2.680655
"28-May-21",25.2,25.84,24.1,24.35,3566527,2.63446,14243301
"31-May-21",,,,,,2.609768
"01-Jun-21",24.77,26.17,24.25,25.96,4273364,2.59812
"02-Jun-21",25.74,27.38,25.05,27.3,6127406,2.670571
"03-Jun-21",26.65,28.35,25.65,26.27,5436002,2.583677
"04-Jun-21",27.4,28.24,26.44,28.11,6506301,2.533747
"07-Jun-21",28.01,29.7496,27.69,29.52,7190666,2.484475
"08-Jun-21",29.54,30.26,28.78,29.5,6664918,2.315034
"09-Jun-21",29.4,29.65,28.18,28.31,3928825,2.07438
"10-Jun-21",28.17,28.5763,27.26,28.09,3032002,1.954906
"11-Jun-21",28.12,28.8098,28.09,28.72,2260379,1.824529
"14-Jun-21",28.65,30.3,28.65,29.83,6210885,1.934001
"15-Jun-21",29.8,30.28,28.52,29.39,4458859,1.978759,11589311
"16-Jun-21",29.02,31.51,29.0018,31.35,8626312,1.912115
"17-Jun-21",30.69,33.28,30.6,31.96,8411455,2.297408
"18-Jun-21",32.04,33.61,31.9,33.14,18824810,2.291733
"21-Jun-21",33.61,33.72,31.87,32.61,6328439,2.632125
"22-Jun-21",32.65,33.84,32.39,32.74,4963582,3.374879
"23-Jun-21",32.25,33.45,32.19,32.91,3615671,3.812359
"24-Jun-21",33.25,33.57,31.53,31.91,5909159,3.671883
"25-Jun-21",32.37,32.8145,31.22,31.67,10722180,3.635365
"28-Jun-21",32,35.06,31.84,34.94,7028333,3.898491
"29-Jun-21",34.925,36.86,34.31,35.69,6103980,4.260136
"30-Jun-21",35.29,35.5,34.6727,34.74,3382287,4.154056,15810627
"01-Jul-21",35.17,35.47,32.59,32.98,3917478,4.181136
"02-Jul-21",33.33,33.78,31.8,32.02,3390819,4.026731
"06-Jul-21",32.15,32.51,30.85,31.11,3446505,3.993147
"07-Jul-21",31.18,31.21,28.41,28.5,7035805,3.819309
"08-Jul-21",27.67,28.36,27.09,28.06,4657191,4.025883
"09-Jul-21",28.79,28.7999,27.7,27.9,3776221,4.505064
"12-Jul-21",28.08,29.48,27.6667,28.84,4810105,4.272218
"13-Jul-21",27.3,27.4,25.915,26.09,8614920,4.510893
"14-Jul-21",26.2,26.2,23.93,24.52,10909100,4.609168
"15-Jul-21",24.24,24.564,22.8,23.27,17346560,4.788156,18045769
"16-Jul-21",23.35,23.57,22.83,22.96,5253063,5.368283
"19-Jul-21",22.73,23.87,22.37,23.47,6772754,4.484493
"20-Jul-21",23.73,24.72,23.6,24.53,6863741,3.90151
"21-Jul-21",24.88,26.0309,24.4,25.96,6258017,3.598793
"22-Jul-21",26.115,26.21,23.89,24.06,7813224,3.605411
"23-Jul-21",24.01,24.2,22.53,22.56,9745700,3.74329
