"Date","open CHPT Price in USD","high CHPT Price in USD","low CHPT Price in USD","close CHPT Price in USD","CHPT Volume","Days to cover 3m (on loan)","Exchange Reported SI","Dividends","hidden"
"01-Mar-21",32.3,33.35,28.56,30.11,5180373
"02-Mar-21",31.26,31.55,28,28.5,3122552
"03-Mar-21",29.82,30.97,28.01,28.33,3389169
"04-Mar-21",28,28.1,22.01,24.21,7762126
"26-Jul-21",22.54,24.18,22.5,23.23,6218515,4.279394
"27-Jul-21",23.02,23.18,21.91,22.75,6813033,4.233829
"28-Jul-21",22.75,24.64,22.7,24.37,7640021,4.48447
"29-Jul-21",24.91,24.96,23.78,24.07,6136858,4.647419
"30-Jul-21",24.56,24.65,23.45,23.65,4119910,4.721525,19986560
"02-Aug-21",23.5,23.83,22.97,23.36,5069603,4.627145
"03-Aug-21",23.5,23.62,22.7331,23.12,3553392,4.932534
"04-Aug-21",23.4,23.93,23.03,23.22,4290149,4.685012
"05-Aug-21",23.57,24.99,23.15,24.67,7960945,4.671986
"06-Aug-21",24.74,25.09,23.6169,23.81,5368292,4.617471
"09-Aug-21",24.04,26.35,23.82,25.74,7805544,4.475767
"10-Aug-21",26.21,26.43,25.38,26.02,5702021,4.686807
"11-Aug-21",26.6,26.6829,24.33,25.06,7858315,4.630115
"12-Aug-21",24.74,25.22,23.89,25.18,3738297,4.80673
"13-Aug-21",25.08,25.1,23.81,23.99,3962305,4.952416,21246560
"16-Aug-21",23.69,23.77,22.47,22.55,6305316,4.856784
"17-Aug-21",22.37,22.37,21.3,21.86,6645507,4.896227
"18-Aug-21",22.12,22.17,21.39,21.75,6214551,4.988084
"19-Aug-21",21.5,21.5792,20.74,20.79,6455110,5.18084
"20-Aug-21",20.82,21.5193,20.76,21.26,4375584,5.109616
"23-Aug-21",21.42,22.12,21.34,21.97,3983644,5.057796
"24-Aug-21",22.33,22.6,22.0101,22.54,4401202,5.251512
"25-Aug-21",22.7,22.7,21.82,22.24,4904752,5.110818
"26-Aug-21",22.01,22.46,21.31,21.36,6124302,5.987899
"27-Aug-21",21.74,21.85,21.19,21.24,8197458,6.287076
"30-Aug-21",21.42,21.62,20.735,20.89,7807197,6.343973
"31-Aug-21",20.99,21.7,20.89,21.15,7563350,6.440342,22366827
"01-Sep-21",20.97,21.92,20.9402,21.23,16637060,6.241719
"02-Sep-21",23.79,23.8,22.18,22.97,42543170,4.843694
"03-Sep-21",22.68,22.93,21.76,22.01,19224430,4.511956
"06-Sep-21",,,,,,4.486571
"07-Sep-21",22.3,22.99,22.09,22.58,9987792,3.927668
"08-Sep-21",22.32,22.4,21.365,21.67,8666038,3.82818
"09-Sep-21",21.3,22.07,21.2815,21.87,5746048,3.633541
"10-Sep-21",21.84,21.84,20.64,20.68,14028120,3.442166
"13-Sep-21",20.84,21.62,20.3,21.22,12217300,3.226306
"14-Sep-21",21.07,21.815,20.905,21.14,7442473,3.321579
"15-Sep-21",20.76,20.8548,20.265,20.61,12443680,3.009049,17410256
"16-Sep-21",20.58,20.7799,20.105,20.7,7872040,2.725368
"17-Sep-21",20.97,21.51,20.6,21.31,11677680,2.777934
"20-Sep-21",20.31,20.81,20.01,20.25,10770900,2.820115
"21-Sep-21",20.3,20.4399,19.87,20.31,10085350,2.769571
"22-Sep-21",20.17,20.711,20.14,20.32,6155579,2.882931
"23-Sep-21",20.57,20.66,20.285,20.51,7027292,3.139202
"24-Sep-21",20.17,20.27,19.81,19.91,10711570,3.048703
"27-Sep-21",19.93,20.85,19.88,20.47,11257200,3.115104
"28-Sep-21",20.36,21.425,20.15,20.83,17695510,3.358338
"29-Sep-21",20.91,21.51,20.35,20.43,10637780,3.39559
"30-Sep-21",20.39,20.4087,19.56,19.99,12841020,2.83316,18098521
"01-Oct-21",19.91,20.05,18.77,19.31,15686290,2.457876
"04-Oct-21",19.16,19.18,17.9233,18.01,13206360,2.714649
"05-Oct-21",18.09,18.35,17.77,17.99,7894937,3.026968
"06-Oct-21",17.87,18.13,17.6,17.92,7285208,3.001994
"07-Oct-21",18.035,18.98,17.7901,18.66,7905586,2.983258
"08-Oct-21",18.71,19.095,18.38,18.4,5892591,2.999985
"11-Oct-21",18.43,19.36,18.3834,19.07,5494327,2.957821
"12-Oct-21",19.2,20,19.15,19.99,6055985,2.895583
"13-Oct-21",20.03,20.13,19.52,20,6369232,2.949979
"14-Oct-21",20.16,20.16,19.71,19.92,6742895,2.974683
"15-Oct-21",19.66,20.035,19.4151,19.71,4576606,3.011201,17341466
"18-Oct-21",19.68,19.94,19.4605,19.91,5024053,2.973398
"19-Oct-21",20.4,21.259,20.26,21.19,11542600,2.949089
"20-Oct-21",21.18,21.26,20.74,21.18,5924676,2.77082
"21-Oct-21",21,22.37,21,22.02,9183633,2.452953
"22-Oct-21",21.885,21.9,20.95,21.35,5824017,2.463855
"25-Oct-21",21.62,23.09,21.52,22.99,9736579,2.252865
"26-Oct-21",23.1,23.5299,22.45,22.84,9266369,2.256303
"27-Oct-21",23.15,23.52,22.6,22.72,5194991,2.060086
"28-Oct-21",22.84,24.3599,22.72,24.16,10663240,2.001279
"29-Oct-21",23.91,24.89,23.88,24.78,7733102,1.866989
"16-Nov-21",,,,,,,,,0
