"Date","open ATER Price in USD","high ATER Price in USD","low ATER Price in USD","close ATER Price in USD","ATER Volume","Days to cover 3m (on loan)","Exchange Reported SI","Dividends","hidden"
"12-Jun-19",10,10.74,9.53,10,997632
"13-Jun-19",9.99,10.1499,9.1,9.17,224046
"14-Jun-19",9.15,9.22,8,8.5,142589,,98639
"17-Jun-19",8.46,8.4999,6.97,7.05,362600
"18-Jun-19",7.09,7.44,6.99,7.15,52689
"19-Jun-19",7.14,7.18,6.5,6.5,115569
"20-Jun-19",6.56,6.9,6.11,6.22,108278
"21-Jun-19",6.2,6.6185,6.2,6.31,43009
"24-Jun-19",6.35,6.8105,6.35,6.7,21957
"25-Jun-19",6.75,7.07,6.75,7.07,20446
"26-Jun-19",7.12,7.61,7.1181,7.61,63999
"27-Jun-19",7.65,7.99,7.61,7.98,35682
"28-Jun-19",7.914,8.07,7.236,8.07,27420,,152067
"01-Jul-19",8.16,8.16,7.35,7.84,23929
"02-Jul-19",7.59,7.774,7.13,7.35,37005
"03-Jul-19",7.31,7.52,7.31,7.31,2631
"05-Jul-19",7.24,7.67,7.2,7.64,17133
"08-Jul-19",7.86,7.86,7.1,7.16,20493
"09-Jul-19",7.25,7.5,7.25,7.5,35151
"10-Jul-19",7.5,7.63,7.25,7.44,22069
"11-Jul-19",7.75,7.75,7.07,7.25,22890
"12-Jul-19",7.25,7.46,7.07,7.28,18998
"15-Jul-19",7.49,7.49,7.08,7.28,12686,,140190
"16-Jul-19",7.21,7.54,7.1,7.5,27400
"17-Jul-19",7.458,7.515,7.26,7.35,31652
"18-Jul-19",7.46,7.5,7.21,7.41,12390
"19-Jul-19",7.35,7.5,7.22,7.5,6591
"22-Jul-19",7.55,7.775,7.35,7.495,26463
"23-Jul-19",7.5,7.64,7.071,7.5,14903
"24-Jul-19",7.3,7.44,7.11,7.24,33980
"25-Jul-19",7.3,7.32,6.76,7.05,34858
"26-Jul-19",6.99,7.27,6.951,7.27,11473,0.809457
"29-Jul-19",7.44,7.75,6.84,7.125,8463,0.832076
"30-Jul-19",7.59,7.59,6.75,6.96,30286
"31-Jul-19",6.626,7.267,6.5,7.02,27640,0.852156,93696
"01-Aug-19",7.15,7.2949,6.33,6.4091,47314,0.877138
"02-Aug-19",7.24,7.24,6.01,6.24,76007,0.761116
"05-Aug-19",6.17,6.51,5.8,6.3,60442,0.742083
"06-Aug-19",6.6,6.74,6.3,6.65,7633,0.781219
"07-Aug-19",6.43,6.59,6.2201,6.23,7579,0.959488
"08-Aug-19",6.4243,6.6,6.4243,6.5,23231,0.889882
"09-Aug-19",6.5,6.82,6.5,6.82,10533,0.998135
"12-Aug-19",6.87,7.25,6.8365,7.25,29371,1.000509
"13-Aug-19",7.24,7.35,6.9,7.3,39151,0.957531
"14-Aug-19",7.25,7.25,6.9001,6.93,13785,1.004515
"15-Aug-19",7.01,7.33,7.001,7.29,6815,0.979507,100437
"16-Aug-19",7.095,7.29,6.9,7.075,7991,0.97329
"19-Aug-19",6.92,7.28,6.61,7.1,22979,0.974502
"20-Aug-19",6.95,7.24,6.7,6.71,14409,1.021058
"21-Aug-19",6.9,7.48,6.9,7.4,33105,1.032371
"22-Aug-19",7.38,8,7.001,7.99,77176,1.014548
"23-Aug-19",8,8.47,7.75,8.43,47824,0.978153
"26-Aug-19",8.55,8.55,8.17,8.41,70223,0.801421
"27-Aug-19",8.201,8.56,8.2,8.44,70753,0.728244
"28-Aug-19",8.281,8.8,8.24,8.78,32053,0.646861
"29-Aug-19",8.78,9.24,8.6279,9.24,47688,0.650452
"30-Aug-19",8.93,9,8.47,8.86,40739,0.719812,94672
"02-Sep-19",,,,,,0.719812
"03-Sep-19",8.52,8.74,8.2,8.2,27745,0.761358
"04-Sep-19",8.4,8.53,8.01,8.09,10119,0.861101
