,Average borrowing fee,Average short interest ratio,Annual return
AAPL,0.25062183908045976,1.1760659130434785,0.23968137781419996
MSFT,0.2512854406130268,1.848901217391304,0.3871192551819662
GOOG,0.2526639846743295,2.089006347826087,0.8571380275859328
AMZN,0.2502222222222222,1.3236328260869565,0.042725171777620696
FB,0.2503885057471264,1.6816723913043479,0.30969842596177344
TSLA,0.25409770114942526,1.518565956521739,0.8069973964631747
NVDA,0.2516357692307692,1.052046,0.534585553952625
NFLX,0.25656398467432956,2.5489832173913043,0.2262264782331478
