ticker,Pearson r,p-value (r),offset,Corr at offset
TTCF_nsdq,-0.15013982759046862,0.48377016875889745,18.0,-0.4041646684713594
FUV_nsdq,0.7760321478890378,2.039320065933937e-13,60.0,0.8435308986190029
CLOV_nsdq,-0.45537203730677944,0.050089842637018364,23.0,-0.562613404967331
WKHS_nsdq,0.5189456908944274,1.82890574695432e-05,60.0,0.7189742208404445
BBIG_nsdq,0.8906118231988414,9.748884583000234e-11,6.0,0.8028694797780811
APOP_nsdq,0.8065315444044687,0.052524298629700004,60.0,
BLNK_nsdq,0.911025984807837,2.2611260106292706e-24,35.0,0.9527967504223444
CHPT_nyse,-0.3468996470984116,0.2052385830137305,-53.0,-0.8073592257801293
BMRA_nsdq,0.4625716864141961,0.00017449058081233355,60.0,0.5487168012123246
GME_nyse,-0.8586595984076968,5.99183907744544e-20,3.0,-0.8851307012293477
RMO_nyse,-0.9140177430077858,1.7796160616841564e-08,31.0,-0.9446547957115945
MRIN_nsdq,0.873413998217313,4.308643892873576e-20,-4.0,0.9238160625952032
AMC_nyse,0.6834377151021287,3.533414232981739e-10,-44.0,0.8540637923511007
RIDE_nsdq,-0.8982617109331696,2.584645780710049e-09,7.0,-0.9218655210227801
PROG_nsdq,-0.5228103130390949,0.0021411015456661636,-56.0,-0.8295343451889509
ATER_nsdq,0.282892376474703,0.032987202480845586,60.0,0.5868154736528951
