ticker,SI Pearson r,SI p-value (r),SI offset,SI Corr at offset,CTB Pearson r,CTB p-value (r),CTB offset,CTB Corr at offset
RWT_nyse,-0.41928966658229316,0.000507987923657458,-52.0,-0.5068723572251504,0.0013223085819635489,0.9726248381336686,-52.0,-0.5068723572251504
SNEX_nsdq,-0.7517959425496709,3.7197958225572103e-11,12.0,-0.796989195271683,0.2680330313790569,8.385243128861679e-07,12.0,-0.796989195271683
BANC_nyse,0.08300788586882547,0.5109355520799981,-59.0,-0.3700238987748596,0.07601557128672251,0.04803344766672076,-59.0,-0.3700238987748596
ARI_nyse,0.4890384742776506,3.570952990955675e-05,60.0,0.544235007077885,0.21854570242433077,9.39999845975045e-09,60.0,0.544235007077885
PIPR_nyse,-0.6858174595908876,3.8707944961914515e-07,-59.0,-0.8771341736106845,0.1229791424257855,0.008788233050146796,-59.0,-0.8771341736106845
PFS_nyse,0.4112683423812724,0.0006656472578685618,9.0,0.39142357012908763,-0.21333911500927627,2.1292327073190133e-08,9.0,0.39142357012908763
FBP_nyse,0.4271119994431921,0.00038774231909687653,-59.0,0.5237292786797093,-0.05748140839385686,0.1354410280887759,-59.0,0.5237292786797093
COOP_nsdq,0.07910107081869294,0.5445354222561773,-51.0,0.26502728989351354,-0.171050171345763,1.5118305796408659e-05,-51.0,0.26502728989351354
PMT_nyse,-0.5006766527785741,2.162409288357011e-05,-42.0,-0.5252006097125059,0.21139751126254885,2.8731860748281248e-08,-42.0,-0.5252006097125059
HMST_nsdq,0.15836346902926185,0.2076830732914511,60.0,0.3967896898068917,-0.33558002488482247,2.955796143651002e-19,60.0,0.3967896898068917
ARR_nyse,-0.41256451843604647,0.000637486725261203,60.0,-0.6610429233732401,0.40776568016742815,1.8152803929483348e-28,60.0,-0.6610429233732401
CUBI_nyse,0.04210325426064055,0.7391277697300621,-59.0,-0.42730984959477436,0.23503135744145437,5.979893291565986e-10,-59.0,-0.42730984959477436
STC_nyse,0.23900071062471723,0.05518899145662838,12.0,0.24966668971937364,-0.1578223571383563,3.7617696758244236e-05,12.0,0.24966668971937364
EFC_nyse,-0.49889912058886315,2.3373555117712565e-05,17.0,-0.5782826093697279,0.018052710388487398,0.6408946535831661,17.0,-0.5782826093697279
ABTX_nsdq,-0.1833959605612361,0.1571368170301079,-59.0,-0.5706101200478577,-0.38046268141359146,2.452878729696204e-23,-59.0,-0.5706101200478577
GPMT_nyse,-0.36339335380875637,0.0029264246167115485,-59.0,-0.41586595478303545,-0.03719463679991212,0.33496060544912254,-59.0,-0.41586595478303545
RC_nyse,0.2859004669677702,0.020960427709187428,1.0,0.30128251837535236,-0.2037460713465456,9.722734186361951e-08,1.0,0.30128251837535236
NYMT_nsdq,-0.6267982099923441,6.513738465599712e-08,-8.0,-0.6538097486387399,-0.00841889473228882,0.8321830724967071,-8.0,-0.6538097486387399
HTH_nyse,0.6339687714122064,1.4356006017852498e-08,-26.0,0.6628458962067325,0.012925841427804534,0.7372751514211656,-26.0,0.6628458962067325
FBK_nyse,-0.4650950580913007,9.482260159159416e-05,60.0,-0.6349601213855077,-0.6130697738465435,8.232898574913891e-71,60.0,-0.6349601213855077
RILY_nsdq,0.7265214212134268,3.412545186535413e-11,60.0,0.7966676735342756,-0.1720835847505598,1.2779913817706793e-05,60.0,0.7966676735342756
NBHC_nyse,-0.048908370772381124,0.6988356893099915,-59.0,-0.4437615512920214,-0.5303447419242366,2.2532103107393927e-50,-59.0,-0.4437615512920214
OFG_nyse,0.2110621418068261,0.09147066220041712,60.0,0.31133237535439784,0.18327000373724595,1.5831140461469266e-06,60.0,0.31133237535439784
KREF_nyse,-0.37628419174771455,0.002006750445832525,-59.0,-0.6910575654310249,-0.11633974628737159,0.002486109215470046,-59.0,-0.6910575654310249
